ordinal,sha,parent_in_observed_chain,commit_message,files_changed_or_scope,file_inventory_quality,research_question,authority_status,primary_evidence_class,commit_url
1,b85aa4931609a74ef83c64742ffe2c3c5233af9d,15c811bb9904142a33d119766b62082f3c689f13,docs: map provider-native build capabilities,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b85aa4931609a74ef83c64742ffe2c3c5233af9d
2,3c318072cec6debd7c5eae6de14b20c8df4b1842,b85aa4931609a74ef83c64742ffe2c3c5233af9d,docs: compare post-0.3 architecture candidates,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/3c318072cec6debd7c5eae6de14b20c8df4b1842
3,186ae52470c8748f187732c5016bab963859ee6f,3c318072cec6debd7c5eae6de14b20c8df4b1842,plans: define native-capability architecture cutover,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/186ae52470c8748f187732c5016bab963859ee6f
4,e23722e81fa651c1540c8aa72e2703ff62ac609b,186ae52470c8748f187732c5016bab963859ee6f,docs: resolve post-0.3 native capability architecture,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/e23722e81fa651c1540c8aa72e2703ff62ac609b
5,b725c63ed8608298f2cd3dfab27a32bc264d9d17,e23722e81fa651c1540c8aa72e2703ff62ac609b,plans: make 0.4 implementation gates executable,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b725c63ed8608298f2cd3dfab27a32bc264d9d17
6,1d5ca98eff28760e9fda3ba070055b9503c22ef2,b725c63ed8608298f2cd3dfab27a32bc264d9d17,docs: tighten public contracts and upstream evidence,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/1d5ca98eff28760e9fda3ba070055b9503c22ef2
7,0f3db5fc103d667506a5827a69857dfc9167e155,1d5ca98eff28760e9fda3ba070055b9503c22ef2,research: add executable architecture falsification harness,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/0f3db5fc103d667506a5827a69857dfc9167e155
8,37375b5cf66b7779bed97440b3f62d2ac7f2c95f,0f3db5fc103d667506a5827a69857dfc9167e155,research: fix contract typecheck invocation,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/37375b5cf66b7779bed97440b3f62d2ac7f2c95f
9,ce13993ead5e204034f5fd265964360433a679da,37375b5cf66b7779bed97440b3f62d2ac7f2c95f,research: run shared executable probe as JavaScript,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/ce13993ead5e204034f5fd265964360433a679da
10,1baf2b3af81ccce3ad3d9bfd129f588146e48cc9,ce13993ead5e204034f5fd265964360433a679da,research: refine profiles and version boundaries,research/post-0.3/*compatibility*; research/post-0.3/*version*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/1baf2b3af81ccce3ad3d9bfd129f588146e48cc9
