claim_id,claim,evidence_class,source_coordinates,actions_run_job_artifact,official_upstream_url,statement_kind,confidence,qualification
GH-STATE-001,Live PR and branch head observed as 96e53a27be4ef96fb47f1a745480e0c5382640f2,REPOSITORY-DOCUMENTED,GitHub pull/ref API observed 2026-08-17,,https://github.com/mannyc2/effect-build/pull/4,observation,high,Mutable fact refreshed during recovery.
GH-STATE-002,PR body still names af4887c36753a82c3c97fafc54b3c368cd98b34d as the final research head,REPOSITORY-DOCUMENTED,PR #4 current body,,https://github.com/mannyc2/effect-build/pull/4,observation,high,Stale relative to live and substantive heads.
GH-STATE-003,The PR is open and draft with 66 commits and 73 changed files,REPOSITORY-DOCUMENTED,PR #4 metadata,,https://github.com/mannyc2/effect-build/pull/4,observation,high,Counts refreshed during recovery.
GH-STATE-004,"No issue comments, review comments, or review threads were observed",REPOSITORY-DOCUMENTED,PR #4 comments/reviews API,,https://github.com/mannyc2/effect-build/pull/4,observation,high,Negative only within accessible PR records.
TRANSPORT-001,Only closure-patch/part-00 exists in the current reachable tree,REPOSITORY-DOCUMENTED,96e53a27be4ef96fb47f1a745480e0c5382640f2:.github/research/closure-patch/part-00,,,observation,high,Tree enumeration; unreachable objects are outside proof boundary.
TRANSPORT-002,part-00 is exactly 8000 bytes and has SHA-256 907c48e8f5453ecf0445ee64eec0f47348bbeb3554f9a081a9916005aad54c06,REPOSITORY-DOCUMENTED,96e53a27be4ef96fb47f1a745480e0c5382640f2:.github/research/closure-patch/part-00,,,observation,high,Recovered verbatim and rehashed.
TRANSPORT-003,Base64 decoding yields a 6000-byte incomplete gzip prefix with SHA-256 efa703027261558f0d927af1a73f626c6d0ff68ba7c0c525e6d6a2bf4494b6ec,RECONSTRUCTED-INFERENCE,evidence/recovered-part-00/part-00 deterministic decode,,,observation,high,Exact deterministic transformation.
TRANSPORT-004,Partial decompression yields 17355 exact patch bytes with SHA-256 d246fe3c2c96a40fe6ca19eb6bfba0e718a9108640b5c9b8c8c248c750d709fa,RECONSTRUCTED-INFERENCE,evidence/recovered-part-00/partial-closure.patch,,,observation,high,Decoder did not reach gzip EOF.
TRANSPORT-005,The apply workflow expected complete gzip SHA-256 b6de99d6ce6c40fe874edb01e3734905b94d6c18dc757625e89644deeacdfa7a,REPOSITORY-DOCUMENTED,11617dd64ce9e22f778fc915a35ce698c80bbe02:.github/workflows/research-toolchain-export.yml:L1-L79,,,observation,high,Digest gate precedes git apply.
TRANSPORT-006,The recovered patch contains a complete architecture-research workflow diff and a truncated Plan 039 diff,RECONSTRUCTED-INFERENCE,evidence/recovered-part-00/partial-closure.patch,,,observation,high,"Completeness means next diff header reached, not full intended patch."
TRANSPORT-007,The closure trigger file was absent and no closure-apply workflow run was observed,REPOSITORY-DOCUMENTED,96e53a27be4ef96fb47f1a745480e0c5382640f2:tree plus Actions run inventory,,,observation,high,The incomplete payload was never applied remotely.
TRANSPORT-008,No canonical research/post-0.3/canonical tree exists at current head,REPOSITORY-DOCUMENTED,96e53a27be4ef96fb47f1a745480e0c5382640f2:recursive tree,,,observation,high,Reachable-tree claim only.
EVIDENCE-001,The last fully reproduced structured receipt boundary is 9b0d2f59567a7684b62df932c67b7a96050b605f,REMOTE-EXECUTED,evidence/receipts/run-31971764975 and run-31971767617,"runs 31971764975, 31971767617; artifacts 9269992639, 9269991589",,observation,high,Both summaries report result reproduced and sourceSha 9b0d2f5.
EVIDENCE-002,The final substantive run at 49cd5e1 passed ten law tests and then failed TypeScript checking,REMOTE-EXECUTED,49cd5e1be7917bf14e89068afb4fa47cf78488fb:Actions job logs,run 31973512087; job 95229475373,,observation,high,Later steps skipped; no receipt artifact.
EVIDENCE-002B,The final profile contracts and compatibility endpoint contracts compiled at the reproduced 9b0d boundary,REMOTE-COMPILED,9b0d2f59567a7684b62df932c67b7a96050b605f:research/post-0.3/final/contracts.ts and effect-contract endpoint probes,runs 31971764975 and 31971767617; artifacts 9269992639 and 9269991589,,observation,high,Compilation evidence is distinct from provider runtime execution.
EVIDENCE-003,Source-export success at current head is not architecture certification,RECONSTRUCTED-INFERENCE,evidence/CURRENT-GITHUB-STATE.json,run 31990680610; artifact 9275193303,,inference,high,"Artifact kind is a source snapshot, while architecture/CI runs failed."
EVIDENCE-004,The artifact inventory contained 67 records at observation time,REPOSITORY-DOCUMENTED,evidence/ARTIFACT-LEDGER.json,,https://api.github.com/repos/mannyc2/effect-build/actions/artifacts,observation,high,All records inventoried; only small JSON receipts preserved.
SCOPE-001,Production package source and current export authority did not differ between the 49cd and 96e source snapshots,RECONSTRUCTED-INFERENCE,local comparison of downloaded source snapshots at 49cd5e1 and 96e53a27,,,observation,high,Not a substitute for a base-to-current exact-head certifier.
SCOPE-002,Plans 039 through 044 are TODO and grant no publication authority,REPOSITORY-DOCUMENTED,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/039-*.md through plans/044-*.md:L1-L44,,,observation,high,Plan 039 was not started.
ARCH-001,Provider-native Api and Command lanes preserve different authorities and must not silently fall back to each other,REPOSITORY-DOCUMENTED,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L84-L120,,,observation,high,Permanent-surface policy in pushed architecture.
ARCH-002,"Candidate C2 combines permanent provider-native surfaces, finite profiles, recipes, and provider-owned compatibility",PRESCRIPTIVE-RECOMMENDATION,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L22-L80,,,recommendation,high,Selected recommendation in this recovery.
ARCH-003,Provider-native-only remains semantically valid but omits demonstrated portable roles,RECONSTRUCTED-INFERENCE,9b0d receipt set plus architecture candidate comparison,,,inference,high,"Product recommendation, not falsification of native-only."
ARCH-004,A generalized transformation/executable algebra is not justified by the evidence,PRESCRIPTIVE-RECOMMENDATION,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L934-L1013,,,recommendation,high,Effect already provides composition; broad common contracts failed.
PROFILE-001,Node main-entry execution is portable across the exercised Bun and Esbuild producers,REMOTE-EXECUTED,evidence/receipts/run-31971764975/existing-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Direct-main-substitution assertion passed.
PROFILE-002,Arbitrary importable-module equivalence for those Node outputs is falsified,FALSIFIED,evidence/receipts/run-31971764975/existing-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Bun retained main behavior while Esbuild reported imported behavior.
PROFILE-003,Runtime-neutral executable production is falsified for Bun and Deno,FALSIFIED,evidence/receipts/run-31971764975/existing-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Outputs executed embedded bun and deno runtimes.
PROFILE-004,Node SEA and the research pkg topology produced equivalent Node-main application results,REMOTE-EXECUTED,evidence/receipts/run-31971764975/external-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Research adapter is not product-authorized.
PROFILE-005,Matching-version Node 25.5.0 and 26.7.0 SEA builds ran,REMOTE-EXECUTED,evidence/receipts/run-31971764975/node-sea-relations.json,run 31971764975; artifact 9269992639,,observation,high,Exact versioned probe.
PROFILE-006,A Node 26 builder with Node 25 base produced a non-running executable,FALSIFIED,evidence/receipts/run-31971764975/node-sea-relations.json,run 31971764975; artifact 9269992639,,observation,high,Supports a non-overridable equality relation.
PROFILE-007,The broad static-web profile was falsified by a dropped top-level linked stylesheet,FALSIFIED,evidence/receipts/run-31971764975/existing-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Narrowing is required.
PROFILE-008,A narrowed module-reachable browser application role conformed in the exercised Bun/Deno fixtures,REMOTE-EXECUTED,evidence/receipts/run-31971764975/profile-refinement.json,run 31971764975; artifact 9269992639,,observation,high,Does not prove the general discovery/rewrite implementation.
PROFILE-009,A generic declaration-output-set profile was falsified by Deno/tsc topology differences,FALSIFIED,evidence/receipts/run-31971764975/existing-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Declaration production remains provider-native absent a narrower law.
PROFILE-010,Incremental Node main was exercised with Esbuild and Rolldown and is architecturally valid but deferred,REMOTE-EXECUTED,evidence/receipts/run-31971764975/external-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,"Deferral is sequencing, not invalidity."
WATCH-001,Typed cross-provider command-watch readiness/rebuild events were falsified,FALSIFIED,evidence/receipts/run-31971764975/existing-provider-research.json,run 31971764975; artifact 9269992639,,observation,high,Only human terminal output was present.
