evidence_id,provider_implementation_identity,host,requested_target,option_mode,evaluation_phase,evidence_class,artifact,coordinate,retrieval_date,digest_algorithm,digest,establishes,does_not_establish
EV-ESB-001,esbuild npm package 0.28.2,retrieval-host (linux x64),n/a,n/a,release-CI,UPSTREAM-DIRECT,npm tarball esbuild-0.28.2.tgz,https://registry.npmjs.org/esbuild/-/esbuild-0.28.2.tgz,2026-08-19,sha256,e045f94c235c7adc50e77ba2a579c7bec41b496b6b47c3a7845f7c1e19959a88,"Exact published package bytes; sha1 0f43bd1bad955b72d24e2261e3abe5957ccf0816 equals the registry dist.shasum for 0.28.2; 7 files; unpackedSize 147361","Any runtime behavior; the bytes actually installed in a consumer tree (install.js may rewrite lib/main.js, see EV-ESB-005)"
EV-ESB-002,esbuild npm package 0.28.2,n/a (declaration),n/a,n/a,release-CI,UPSTREAM-DIRECT,lib/main.d.ts,esbuild-0.28.2.tgz!package/lib/main.d.ts,2026-08-19,sha256,e078310f23f0ccfa28a6ac81b5fad81f27150e921f92ab6e648caab42e2d9a14,"Complete declared public host API: build, buildSync, context, transform, transformSync, formatMessages, formatMessagesSync, analyzeMetafile, analyzeMetafileSync, initialize, version, stop; BuildContext = {rebuild, watch, serve, cancel, dispose}; ServeResult = {port, hosts} with no stop member; WatchOptions = {delay} only; OutputFile = {path, contents, hash, readonly text}","Runtime behavior, cancellation guarantees, race outcomes, remnants, or which host a member actually works on"
EV-ESB-003,esbuild npm package 0.28.2,node,n/a,n/a,operation-preflight,UPSTREAM-DIRECT,lib/main.js (shipped implementation),esbuild-0.28.2.tgz!package/lib/main.js,2026-08-19,sha256,61ec0ba144ff93f4bf0e96ad6fab6f430ede0aa13e27ace8063ed63ba416b3cd,"Module-global longLivedService; child_process.spawn(bin, ['--service=0.28.2','--ping'], {stdio:['pipe','pipe','inherit'], cwd: defaultWD, windowsHide:true}); defaultWD captured at module load; stopService = stdin.destroy/stdout.destroy/child.kill then clears longLivedService; stop() returns Promise.resolve() without awaiting exit; writeDefault = streamIn.hasFS (write defaults true on node); rebuild() coalesces onto one shared latestResultPromise and re-issues rebuild until on-end settles; cancel() resolves without error and no-ops after dispose; dispose() is idempotent via didDispose and does not guard rebuild/watch/serve; scheduleOnDisposeCallbacks uses setTimeout(cb,0) after dispose resolves; response.writeToStdout is emitted with console.log; sync paths use worker_threads or execFileSync with maxBuffer = ESBUILD_MAX_BUFFER || 16MiB; plugins rejected when streamIn.isSync; first child packet is checked against host version 0.28.2","That any of these code paths were executed in this research; timing, race outcomes, or partial-write remnants"
EV-ESB-004,esbuild npm package 0.28.2,n/a,n/a,n/a,installation-graph,UPSTREAM-DIRECT,package.json,esbuild-0.28.2.tgz!package/package.json,2026-08-19,sha256,9d0bc453f4e791553c4cc2298ba023b409241fd9801e494741666eb0f6051490,"26 optionalDependencies pinned to exact 0.28.2; engines.node >=18; bin.esbuild = bin/esbuild; postinstall = node install.js; esbuild.binaryHashes carries 23 sha256 entries","A hash for @esbuild/android-arm, @esbuild/android-x64 or @esbuild/openharmony-arm64 - those three WebAssembly-fallback platforms have no published binary hash"
EV-ESB-005,esbuild npm package 0.28.2,node,n/a,n/a,installation-graph,UPSTREAM-DIRECT,install.js,esbuild-0.28.2.tgz!package/install.js,2026-08-19,sha256,612294e278914443bdcf81cb17f54afec34dbdd2ebd999a6ee187912320cc315,"postinstall performs network acquisition when the platform package is absent (npm install into lib/npm-install, then direct https GET of the platform tarball); binaryIntegrityCheck is applied only on those fallback paths, never on the ordinary require.resolve path; maybeOptimizePackage hardlinks the native binary over bin/esbuild on non-Windows non-yarn non-WASM installs, so the package bin becomes the native binary rather than a node shim; applyManualBinaryPathOverride rewrites bin/esbuild and prepends a var to lib/main.js when ESBUILD_BINARY_PATH is set at install time; validateBinaryVersion asserts binary --version equals package version at install time only","That any consumer tree actually took a fallback path; that postinstall ran at all (--ignore-scripts skips it)"
EV-ESB-006,esbuild npm package 0.28.2,node,n/a,n/a,launch-boundary,UPSTREAM-DIRECT,bin/esbuild (published form),esbuild-0.28.2.tgz!package/bin/esbuild,2026-08-19,sha256,183d6ead2dbc3af51aec767d5395f86fe54fbbc2d2aa8e54feb4e31d76a62f7e,"As published, the CLI entry is a Node shim ending in execFileSync(binPath, process.argv.slice(2), {stdio:'inherit'}), or execFileSync('node',[binPath],...) on WASM platforms; ESBUILD_BINARY_PATH is honoured and the literal /usr/bin/esbuild is rejected by isValidBinaryPath","The installed form - EV-ESB-005 shows install.js may replace this file with a hardlink to the native binary"
EV-ESB-007,@esbuild/linux-x64 0.28.2,n/a,linux-x64,n/a,installation-graph,UPSTREAM-DIRECT,npm tarball linux-x64-0.28.2.tgz,https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.28.2.tgz,2026-08-19,sha256,9573bb2233aab0f9ea7647d5cca9726113cc1768de61d66b17267f4db84488f6,"Platform package bytes; sha1 268b36211c146ca54f8fe12c578a8d6ef8979485 equals registry dist.shasum; os=[linux] cpu=[x64]; 3 files; unpackedSize 11428465","Any other platform cell"
EV-ESB-008,@esbuild/linux-x64 0.28.2 native binary,n/a,linux-x64,n/a,launch-boundary,UPSTREAM-DIRECT,bin/esbuild (native),linux-x64-0.28.2.tgz!package/bin/esbuild,2026-08-19,sha256,e1698a3d5c6c0798fee4fd3b5cc816651f460c63d390a7a26ea4beb0b1884100,"Computed sha256 is byte-identical to esbuild@0.28.2 package.json esbuild.binaryHashes['@esbuild/linux-x64/bin/esbuild'], so the package/platform-package/native-binary coherence relation holds at this one cell","Coherence at the other 22 hashed cells or at the 3 unhashed WASM-fallback cells"
EV-ESB-009,esbuild source tag v0.28.2,n/a (declaration),n/a,n/a,release-CI,UPSTREAM-DIRECT,lib/shared/types.ts,https://raw.githubusercontent.com/evanw/esbuild/v0.28.2/lib/shared/types.ts,2026-08-19,sha256,e078310f23f0ccfa28a6ac81b5fad81f27150e921f92ab6e648caab42e2d9a14,"Byte-identical to the shipped lib/main.d.ts (EV-ESB-002), so the tagged declaration source and the published declaration are the same artifact at 0.28.2","That this identity holds at any other version"
EV-ESB-010,esbuild source tag v0.28.2,n/a,n/a,n/a,operation-preflight,UPSTREAM-DIRECT,lib/shared/common.ts,https://raw.githubusercontent.com/evanw/esbuild/v0.28.2/lib/shared/common.ts,2026-08-19,sha256,1f2789539f14f7732e6c99c268331a49cb60e175d0a1223af162a01340034971,"Host-independent protocol, option validation, plugin dispatch and context implementation shared by node/deno/browser hosts; loader values are forwarded as strings without an enumerated runtime check","Host-specific spawn or lifetime behavior"
