operation_id,operation,lane,lifecycle,resource_result,output_publication,semantic_key,stability,contract,evidence_refs,package_gate,profile_gate
OP-ROL-001,acquire-reusable-build,host-api,scoped-acquisition,scoped-handle,none,"Rolldown / acquire-reusable-build / host-api / scoped-acquisition / {scoped-handle, none}",public root API; not marked experimental,RolldownBuild captures input options and owns the native build holder; no publication.,E-ROL-ACQUIRE;E-ROL-HANDLE;E-ROL-INPUT;E-EB-GATES,defer,candidate-only
OP-ROL-002,generate,scoped-handle,reusable,caller-owned-value,none,"Rolldown / generate / scoped-handle / reusable / {caller-owned-value, none}",public root API; not marked experimental,RolldownOutput with ordered chunks/assets and metadata; no provider publication.,E-ROL-HANDLE;E-ROL-OUTPUT-TYPES;E-ROL-OUTPUT-IMPL;E-ROL-EXTMEM;E-EB-RECEIPT,defer,narrow-seed-passed
OP-ROL-003,write,scoped-handle,reusable,caller-owned-value,provider-direct-durable,"Rolldown / write / scoped-handle / reusable / {caller-owned-value, provider-direct-durable}",public root API; not marked experimental,Returns metadata after provider-direct writes; writes are durable but not atomic.,E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-ROL-OUTPUT-TYPES;E-ROL-PLUGIN;E-EB-LIFE,defer,not-applicable
OP-ROL-004,close-reusable-build,scoped-handle,release,no-public-value,none,"Rolldown / close-reusable-build / scoped-handle / release / {no-public-value, none}",public root API; not marked experimental,Promise<void>; lifecycle release only.,E-ROL-HANDLE;E-EB-RECEIPT;E-EB-PROBE;E-EB-LIFE,defer,supporting-lifecycle-only
OP-ROL-005,build-one-shot-generate,host-api,one-shot,caller-owned-value,none,"Rolldown / build-one-shot-generate / host-api / one-shot / {caller-owned-value, none}",experimental public root API,"Wrapper acquires, generates, and closes in finally.",E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-IMPL,defer,candidate-only
OP-ROL-006,build-one-shot-write,host-api,one-shot,caller-owned-value,provider-direct-durable,"Rolldown / build-one-shot-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}",experimental public root API,"Wrapper acquires, writes, and closes in finally; direct writes are not atomic.",E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-EB-LIFE,defer,not-applicable
OP-ROL-007,watch-direct-write,host-api,scoped-session,scoped-handle,provider-direct-durable,"Rolldown / watch-direct-write / host-api / scoped-session / {scoped-handle, provider-direct-durable}",experimental public root API,Watcher event session; result handles carried by events require caller close.,E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-INPUT,defer,not-applicable
OP-ROL-008,watch-skip-write,host-api,scoped-session,scoped-handle,none,"Rolldown / watch-skip-write / host-api / scoped-session / {scoped-handle, none}",experimental public root API,Watcher event session without automatic publication.,E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-HANDLE,defer,candidate-only
OP-ROL-009,close-watch-session,scoped-handle,release,no-public-value,none,"Rolldown / close-watch-session / scoped-handle / release / {no-public-value, none}",experimental public root API,Promise<void>; lifecycle release only.,E-ROL-WATCH-IMPL;E-ROL-WATCH-EVENT;E-EB-LIFE,defer,supporting-lifecycle-only
OP-ROL-010,cli-bundle-stdout,selected-command,one-shot,caller-owned-value,none,"Rolldown / cli-bundle-stdout / selected-command / one-shot / {caller-owned-value, none}",public CLI bin,Exit status plus raw stdout/stderr; human stdout may contain multiple outputs.,E-ROL-PKG;E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG,defer,not-applicable
