claim_id,classification,provider,claim,request_config_authority,transport_lane,lifecycle,resource_result,output_publication,failure_law,interruption_law,provider_implementation_identity,host_target_relations,compatibility_owner,evaluation_phase,operation_ref,provenance,semantic_disposition,source_refs
SC-B-01,operation,bun,new Bun.Transpiler(options) constructs a reusable configured transpiler object,constructor-captured options,host-api,one-shot,caller-owned-value,none,provider-native construction errors,none applies,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-01,upstream-declaration+documentation,established,OP-BUN-001;B-supp
SC-B-02,operation,bun,Transpiler.transform is an async single-source transpile on Bun's worker threadpool,captured options + loader override,host-api,one-shot,caller-owned-value,none,Promise rejection,no cancel handle; fiber stops awaiting,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-02,upstream-declaration+documentation,established,OP-BUN-002
SC-B-03,operation,bun,Transpiler.transformSync is a synchronous calling-thread transpile,captured options + loader override,host-api,one-shot,caller-owned-value,none,synchronous throw,not interruptible while running,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-03,upstream-declaration+documentation,established,OP-BUN-003
SC-B-04,operation,bun,Transpiler.scan returns exports plus typed imports (type-only ignored),captured options,host-api,one-shot,caller-owned-value,none,synchronous throw,not interruptible while running,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-04,upstream-declaration+documentation,established,OP-BUN-004
SC-B-05,operation,bun,Transpiler.scanImports returns imports only; documented faster and marginally less accurate,captured options,host-api,one-shot,caller-owned-value,none,synchronous throw,not interruptible while running,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-05,upstream-declaration+documentation,established,OP-BUN-005
SC-B-06,operation,bun,Bun.build without outdir/compile returns memory BuildArtifacts and publishes nothing,BuildConfig; plugins/loaders/virtual files,host-api,one-shot,caller-owned-value,none,AggregateError or success:false by throw mode,no cancel handle,Bun runtime version+revision,bundle target browser|bun|node coordinate,effect-build-bun,execution,CO-BUN-06,upstream-declaration+documentation,established,OP-BUN-006;B01;B02
SC-B-07,operation,bun,Bun.build with outdir performs provider-direct durable writes,BuildConfig + outdir,host-api,one-shot,caller-owned-value,provider-direct-durable,throw mode; atomicity/partial-failure unknown,no cancel handle; remnants unknown,Bun runtime version+revision,bundle target coordinate,effect-build-bun,execution,CO-BUN-07,upstream+recorded-execution,established,OP-BUN-007;B03
SC-B-08,operation,bun,selected bun build with stdout transport is a one-shot command with no publication,selected binary; argv/cwd/env; serializable options only,selected-command,one-shot,caller-owned-value,none,non-zero exit + human diagnostics,child signaling; untested,selected command content identity,any spawning host,effect-build-bun,preflight+launch+execution,CO-BUN-08,upstream-documentation,established,OP-BUN-008;B04
SC-B-09,operation,bun,selected bun build with outfile/outdir performs provider-direct durable writes,selected binary; argv/cwd/env,selected-command,one-shot,caller-owned-value,provider-direct-durable,non-zero exit; partial writes unknown,child signaling; untested,selected command content identity,any spawning host,effect-build-bun,preflight+launch+execution,CO-BUN-09,upstream+recorded-execution,established,OP-BUN-009;B04
SC-B-10,operation,bun,selected bun build --watch is a scoped child with repeated provider writes and raw streams,selected binary + watch flags,selected-command,scoped-process,long-lived-handle,provider-direct-durable,raw diagnostics + exit/signal only,scope terminates child; cleanup unknown,selected command content identity,any spawning host,effect-build-bun,preflight+launch+execution,CO-BUN-10,upstream+recorded-execution,established,OP-BUN-010;B05
