"operation_id","semantic_identity","original_disposition","original_selection_status","final_disposition","revision","adjudication_status","pre_freeze_gate","gate_closure","evidence","blocker","targeted_proof_audit_reason","proposed_package","proposed_subpath","proposed_export","proposed_root_namespace"
"CAN-BUN-001","bun / create-transpiler / host-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","GC/native backing lifetime and concurrency","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: GC/native backing lifetime and concurrency.","","effect-build-bun","./Transpiler","make","Transpiler"
"CAN-BUN-002","bun / transpile-source-async / host-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","provider work after Effect interruption","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: provider work after Effect interruption.","","effect-build-bun","./Transpiler","transform","Transpiler"
"CAN-BUN-003","bun / transpile-source-sync / host-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","non-interruptible execution boundary","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: non-interruptible execution boundary.","","effect-build-bun","./Transpiler","transformSync","Transpiler"
"CAN-BUN-004","bun / scan-source / host-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","latency and adversarial accuracy","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: latency and adversarial accuracy.","","effect-build-bun","./Transpiler","scan","Transpiler"
"CAN-BUN-005","bun / scan-imports-fast / host-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","adversarial accuracy boundary","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: adversarial accuracy boundary.","","effect-build-bun","./Transpiler","scanImports","Transpiler"
"CAN-BUN-006","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","cancellation and retained artifact lifetime","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: cancellation and retained artifact lifetime.","","effect-build-bun","./Build","build","Build"
"CAN-BUN-007","bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","partial writes; pre-existing outputs; interruption remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: partial writes; pre-existing outputs; interruption remnants.","","effect-build-bun","./BuildToDirectory","buildToDirectory","BuildToDirectory"
"CAN-BUN-008","bun / build-stdout / selected-command / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","collection bounds and signal outcome","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: collection bounds and signal outcome.","","effect-build-bun","./BuildCommand","build","BuildCommand"
"CAN-BUN-009","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","partial writes; replacement; signal remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: partial writes; replacement; signal remnants.","","effect-build-bun","./BuildCommandToDirectory","buildToDirectory","BuildCommandToDirectory"
"CAN-BUN-010","bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","readiness; recovery; subtree termination; remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: readiness; recovery; subtree termination; remnants.","","effect-build-bun","./BuildWatchCommand","watch","BuildWatchCommand"
"CAN-BUN-011","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","target matrix; acquisition; interruption remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: target matrix; acquisition; interruption remnants.","","effect-build-bun","./CompileExecutableApi","compileExecutableDirect","CompileExecutableApi"
"CAN-BUN-012","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","ship","selected-candidate-not-frozen","ship","unchanged","final-closed-gate-override","target matrix; acquisition; interruption and publication certification","closed","git:f06f96ca88b6278e5f23a898d758b99fa9322108;git-tree:packages=9ad55683899ec7447b608cff7997ac5a2572a996;git-blob:tooling/public-api.json=c8c2169b0db1c522ffa1fec6b93db093fc21f1c6;git-diff:v0.3.0..adjudicated-head:packages,package.json,bun.lock,tooling/public-api.json=empty;https://github.com/mannyc2/effect-build/actions/runs/31877736423;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833693;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833767;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833745;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833768;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833773","The unchanged production operation is admitted from the exact green v0.3 source and target/publication jobs; the final freeze source must rerun the unchanged ordinary gates.","","effect-build-bun","./CompileExecutable","compileExecutable","CompileExecutable"
"CAN-BUN-014","bun / plugin-register-global / host-api / one-shot / {caller-owned-value, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-bun","none","none","none"
"CAN-BUN-015","bun / plugin-clear-global / host-api / one-shot / {none, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-bun","none","none","none"
"CAN-DENO-001","deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","permission and interruption execution","","effect-build-deno","none","none","none"
"CAN-DENO-002","deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","permission matrix; partial writes; remnants","","effect-build-deno","none","none","none"
"CAN-DENO-003","deno / bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","framing; stderr; bounds; interruption","","effect-build-deno","none","none","none"
"CAN-DENO-004","deno / bundle-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","partial writes and project precedence execution","","effect-build-deno","none","none","none"
"CAN-DENO-005","deno / bundle-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","rebuild recovery; termination; reaping; remnants","","effect-build-deno","none","none","none"
"CAN-DENO-006","deno / bundle-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","closure and output topology","","effect-build-deno","none","none","none"
"CAN-DENO-007","deno / transpile-stdout / selected-command / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","collection bounds and diagnostics execution","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: collection bounds and diagnostics execution.","","effect-build-deno","./TranspileCommand","transpile","TranspileCommand"
"CAN-DENO-008","deno / transpile-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","interruption and map remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: interruption and map remnants.","","effect-build-deno","./TranspileCommandToDirectory","transpileToDirectory","TranspileCommandToDirectory"
"CAN-DENO-009","deno / transpile-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","declaration failure and topology","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: declaration failure and topology.","","effect-build-deno","./TranspileDeclarationsCommand","emitDeclarations","TranspileDeclarationsCommand"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","ship","selected-candidate-not-frozen","ship","unchanged","final-closed-gate-override","host-target; cache/offline; denort relation; runtime","closed","git:f06f96ca88b6278e5f23a898d758b99fa9322108;git-tree:packages=9ad55683899ec7447b608cff7997ac5a2572a996;git-blob:tooling/public-api.json=c8c2169b0db1c522ffa1fec6b93db093fc21f1c6;git-diff:v0.3.0..adjudicated-head:packages,package.json,bun.lock,tooling/public-api.json=empty;https://github.com/mannyc2/effect-build/actions/runs/31877736423;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833693;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833671;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833745;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833768;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94995833773","The unchanged production operation is admitted from the exact green v0.3 source and target/publication jobs; the final freeze source must rerun the unchanged ordinary gates.","","effect-build-deno","./CompileExecutable","compileExecutable","CompileExecutable"
"CAN-DENO-011","deno / compile-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","coalescing; termination; reaping; remnants","","effect-build-deno","none","none","none"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","ship","unchanged","final-closed-gate-override","one-shot provider continuation after interruption","closed","git:973136e9679e6f0737067c5ec88016e1243eeed7;git-integration:5ebdc5f;research/post-0.3/reconciliation/r4/R1-GATE-MATRIX.md#CAN-ESB-001;research/post-0.3/reconciliation/r4/CLOSURE.md;receipt:r4-author-laws:esbuild-one-shot-interruption-law","None. The exact R1 conjunction is closed at esbuild 0.28.2: Effect interruption stopped waiting while the blocked provider/plugin continued through onEnd and produced memory output. The ordinary exact-head Linux x64 gate must reproduce this frozen support cell.","","effect-build-esbuild","./Build","build","Build"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","partial writes and interruption remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: partial writes and interruption remnants.","","effect-build-esbuild","./BuildToDirectory","buildToDirectory","BuildToDirectory"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","large-input temporary-file cleanup","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: large-input temporary-file cleanup.","","effect-build-esbuild","./Transform","transform","Transform"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","runtime rendering receipt","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: runtime rendering receipt.","","effect-build-esbuild","./AnalyzeMetafile","analyzeMetafile","AnalyzeMetafile"
"CAN-ESB-005","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","runtime rendering receipt","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: runtime rendering receipt.","","effect-build-esbuild","./FormatMessages","formatMessages","FormatMessages"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-esbuild","none","none","none"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-esbuild","none","none","none"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-esbuild","none","none","none"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-esbuild","none","none","none"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is architectural","","effect-build-esbuild","none","none","none"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","ship","selected-candidate-not-frozen","ship","unchanged","final-closed-gate-override","race matrix; post-dispose; delayed plugin cleanup","closed","git:973136e9679e6f0737067c5ec88016e1243eeed7;git-integration:5ebdc5f;research/post-0.3/reconciliation/r4/R1-GATE-MATRIX.md#CAN-ESB-011;research/post-0.3/reconciliation/r4/CLOSURE.md;receipt:r4-author-laws:esbuild-context-lifecycle-matrix","None. The exact R1 conjunction is closed at esbuild 0.28.2: rebuild coalescing, cancel/dispose races, every post-dispose method, idempotent dispose, and delayed onDispose cleanup were executed. The ordinary exact-head Linux x64 gate must reproduce this frozen support cell.","","effect-build-esbuild","./Context","make","Context"
"CAN-ESB-012","esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","context races and mixed-generation remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: context races and mixed-generation remnants.","","effect-build-esbuild","./ContextToDirectory","make","ContextToDirectory"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is ownership law","","effect-build-esbuild","none","none","none"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection is ownership law","","effect-build-esbuild","none","none","none"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","bounds; bin form; signal and reaping","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: bounds; bin form; signal and reaping.","","effect-build-esbuild","./BuildCommand","build","BuildCommand"
"CAN-ESB-016","esbuild / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","partial writes; bin form; signal and reaping","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: partial writes; bin form; signal and reaping.","","effect-build-esbuild","./BuildCommandToDirectory","buildToDirectory","BuildCommandToDirectory"
"CAN-ESB-017","esbuild / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-from-current-committed-evidence","termination choice; descendants; remnants","not-closed","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv;research/post-0.3/reconciliation/r1/STOP-CONDITION.json","No committed receipt at the adjudicated source closes the complete gate: termination choice; descendants; remnants.","","effect-build-esbuild","./BuildWatchCommand","watch","BuildWatchCommand"
"CAN-ESB-018","esbuild / serve / selected-command / scoped-process / {long-lived-handle, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","machine-readable address or fixed-port decision; lifecycle","","effect-build-esbuild","none","none","none"
"CAN-ESB-019","esbuild / build-host-stdout / in-process-api / one-shot / {none, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","exact typed preflight set","","effect-build-esbuild","none","none","none"
"CAN-NODE-001","node-sea / assemble-direct / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","ship","selected-candidate-not-frozen","ship","unchanged","final-closed-gate-override","exact binary capability; host-target and runtime matrix","closed","git:f06f96ca88b6278e5f23a898d758b99fa9322108;git-tree:packages=9ad55683899ec7447b608cff7997ac5a2572a996;git-blob:tooling/public-api.json=c8c2169b0db1c522ffa1fec6b93db093fc21f1c6;git-diff:v0.3.0..adjudicated-head:packages,package.json,bun.lock,tooling/public-api.json=empty;git-research-correction:ad4a097;git-integration:8a383db;https://github.com/mannyc2/effect-build/actions/runs/31877736423;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94996031180;research/post-0.3/node-main-canon-probe.mjs;research/post-0.3/freeze/R5-PORTABLE-ROLE-VERDICTS.md","Admission is deliberately narrower than the deferred portable role: direct Node 26.7.0 --build-sea on Linux x64 GNU only; the final freeze source must rerun the unchanged ordinary gate.","","effect-build-node-sea","./AssembleExecutable","assembleExecutable","AssembleExecutable"
"CAN-NODE-002","node-sea / generate-preparation-blob / selected-command / one-shot / {scope-borrowed-value, none}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-explicit-disposition-override","generator/base relations; cleanup and interruption","not-applicable-deferred-legacy-only","research/post-0.3/freeze/PRODUCT-DECISIONS.md#M3;git:f06f96ca88b6278e5f23a898d758b99fa9322108;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94996031180","Deferred-legacy-only: M3 selects the direct Node --build-sea assembler. That operation does not generate a preparation blob and does not rent this stage publicly or internally.","","effect-build-node-sea","none","none","none"
"CAN-NODE-003","node-sea / inject-preparation-blob / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","ship","selected-candidate-not-frozen","defer","ship-to-defer","final-explicit-disposition-override","injector candidate; target matrix; lifecycle","not-applicable-deferred-legacy-only","research/post-0.3/freeze/PRODUCT-DECISIONS.md#M3;git:f06f96ca88b6278e5f23a898d758b99fa9322108;https://github.com/mannyc2/effect-build/actions/runs/31877736423/job/94996031180","Deferred-legacy-only: M3 selects direct Node --build-sea assembly and excludes an injector/postject lane from the 0.4 surface.","","effect-build-node-sea","./AssembleLegacy","assembleLegacy","AssembleLegacy"
"CAN-ROL-001","rolldown / acquire-reusable-build / in-process-api / scoped-context / {long-lived-handle, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","concurrency and release law","","effect-build-rolldown","none","none","none"
"CAN-ROL-002","rolldown / generate / in-process-api / scoped-context / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","repeatability; concurrent use; external memory","","effect-build-rolldown","none","none","none"
"CAN-ROL-003","rolldown / write / in-process-api / scoped-context / {caller-owned-value, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","collisions; interruption; remnants","","effect-build-rolldown","none","none","none"
"CAN-ROL-005","rolldown / build-one-shot-generate / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","interruption cleanup","","effect-build-rolldown","none","none","none"
"CAN-ROL-006","rolldown / build-one-shot-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","partial writes and interruption cleanup","","effect-build-rolldown","none","none","none"
"CAN-ROL-007","rolldown / watch-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","event order; result close; interruption","","effect-build-rolldown","none","none","none"
"CAN-ROL-008","rolldown / watch-skip-write / in-process-api / scoped-context / {long-lived-handle, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","event order; result close; interruption","","effect-build-rolldown","none","none","none"
