provider,operation,lane,host,version_identity,status,evidence_label,source_coordinate,limitation
bun,bundle,selected-command,ubuntu-24.04/x86_64-gnu,1.3.9+cf6cdbbba,observed-CI-point,RECORDED-EXECUTION,live merge-test job + historical receipt,Exact selected executable; no adjacent versions implied
bun,bundle,selected-command,ubuntu-24.04/x86_64-gnu,1.3.14 (revision not captured in receipt),observed-CI-point,RECORDED-EXECUTION,historical version-boundary receipt,Exact host/current command fixture only
bun,Bun.build bundle,host-api,Bun host on ubuntu-24.04,1.3.9,observed-CI-point,RECORDED-EXECUTION,historical host-api-boundaries receipt,Exact host API shape and fixture
bun,Bun.build bundle,host-api,Bun host on ubuntu-24.04,1.3.14,observed-CI-point,RECORDED-EXECUTION,historical host-api-boundaries receipt,Exact host API shape and fixture
bun,compile executable,selected-command,ubuntu-24.04 -> linux-x64-gnu,1.3.9+cf6cdbbba,library-policy-supported,GITHUB-DIRECT,"tool pin, adapter, support matrix",Current implementation/pin acceptance; not a future range
bun,compile executable,selected-command,arbitrary,future stable point included by reviewed policy P,library-policy-supported,PROPOSAL,not yet selected,"Hypothetical policy-supported, not an exact CI point; no current version commitment"
bun,bundle/compile,selected-command,arbitrary,canary revision R with digest D,unknown,PROPOSAL,Bun canary policy,Exact canary begins unknown even if capabilities probe present
bun,bundle/compile,selected-command,arbitrary,canary revision R with digest D,overridden-unknown,PROPOSAL,stable explicit override receipt,Only after all capabilities/relations/peers/protocols pass
deno,compile executable,selected-command,ubuntu-24.04 -> linux-x64-gnu,2.9.3 stable,observed-CI-point,RECORDED-EXECUTION,live real-tools job,Exact selected Deno and denort fixture
deno,bundle,selected-command,ubuntu-24.04/x86_64-gnu,2.9.3 stable,observed-CI-point,RECORDED-EXECUTION,historical version-boundary receipt,Experimental command; acquisition observed elsewhere
deno,bundle,selected-command,ubuntu-24.04/x86_64-gnu,2.9.5 stable,observed-CI-point,RECORDED-EXECUTION,historical version-boundary receipt,Second exact point; no interpolation
deno,Deno.bundle,host-api,Deno host on ubuntu-24.04,2.9.3 stable,observed-CI-point,RECORDED-EXECUTION,historical host-api-boundaries receipt,Requires unstable flag in upstream contract
deno,Deno.bundle,host-api,Deno host on ubuntu-24.04,2.9.5 stable,observed-CI-point,RECORDED-EXECUTION,historical host-api-boundaries receipt,Exact point only
deno,Deno.bundle,compiled-runtime-api,compiled Deno fixture,2.9.3 stable,known-incompatible,RECORDED-EXECUTION,historical existing-provider receipt,Function absent in compiled runtime; lane-specific
deno,compile executable,selected-command,offline target,2.9.3 stable without cached/matching denort,known-incompatible,UPSTREAM-DIRECT,Deno compile denort contract,Operation cannot proceed offline without required asset; exact asset observation decides
esbuild,one-shot bundle,in-process-js-api,Node/Bun host,0.28.2,library-policy-supported,GITHUB-DIRECT,exact dependency and API check,Current implementation accepts exactly 0.28.2
esbuild,context/rebuild/cancel/dispose,in-process-js-api,ubuntu-24.04,0.28.1,observed-CI-point,RECORDED-EXECUTION,historical version-boundary receipt,Exact research point; current package remains pinned 0.28.2
