operation_id,provider,operation,lane,lifecycle,resource_result,output_publication,upstream_status,recommendation,recommendation_basis,evidence_status,compatibility_commitment,implementation_status,certification_status
DENO-OP-001,deno,bundle-memory,host-api,one-shot,caller-owned-value,none,experimental,defer,"Structured in-memory output is source-established, but v2.9.5 permission/interruption behavior lacks exact execution.",source-established; runtime-proof-pending,exact identities only; unadmitted until execution,not-started,not-certified
DENO-OP-002,deno,bundle-direct-write,host-api,one-shot,caller-owned-value,provider-direct-durable,experimental,defer,Caller permission plumbing and direct writes are source-established; partial-write/interruption remnants need execution.,source-established; runtime-proof-pending,exact identities only; unadmitted until execution,not-started,not-certified
DENO-OP-003,deno,bundle-stdout,selected-command,one-shot,caller-owned-value,none,experimental,defer,"CLI stdout topology is source-established; framing, stderr and interruption need a command receipt.",source-established; runtime-proof-pending,exact identities only; unadmitted until execution,not-started,not-certified
DENO-OP-004,deno,bundle-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,experimental,defer,Project/config/import-map/lock/npm authority is real; partial durable outcomes need execution.,source-established; runtime-proof-pending,exact identities only; unadmitted until execution,not-started,not-certified
DENO-OP-005,deno,bundle-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,experimental,defer,"Raw scoped process is truthful; rebuild failure, reaping, termination and remnants are empirical.",source-established; runtime-proof-pending,exact identities only; unadmitted until execution,not-started,not-certified
DENO-OP-006,deno,bundle-declarations-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,experimental,defer,Declaration roll-up is source-established; closure/topology adversarial execution remains.,source-established; runtime-proof-pending,exact identities only; unadmitted until execution,not-started,not-certified
DENO-OP-007,deno,transpile-stdout,selected-command,one-shot,caller-owned-value,none,stable,ship,Stable native one-file stdout mode preserves Deno command authority.,source-established; certification-pending,support cells pending execution,not-started,not-certified
DENO-OP-008,deno,transpile-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,stable,ship,Stable native direct-write mode supports output trees/maps without inventing atomicity.,source-established; certification-pending,support cells pending execution,not-started,not-certified
DENO-OP-009,deno,transpile-declarations-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,stable,ship,"Declaration mode adds graph/type-check work and durable .d.ts topology, so it stays distinct.",source-established; certification-pending,support cells pending execution,not-started,not-certified
DENO-OP-010,deno,compile-executable,selected-command,one-shot,caller-owned-value,atomic-published-durable,stable,ship,Stable native command; denort acquisition and target/runtime identity remain explicit sub-operations/relations.,source-established; certification-pending,support cells pending target/acquisition execution,released predecessor; 0.4 not-started,not-certified
DENO-OP-011,deno,compile-watch,selected-command,scoped-process,long-lived-handle,atomic-published-durable,stable,defer,"Source exposes watch, but rebuild/coalescing/interruption/reaping laws require exact execution.",source-established; runtime-proof-pending,uncommitted,not-started,not-certified
