surface,kind,caller_surface,execution_location,transport,selection_authority,state_lifetime,trace,actual_work_owner,outputs,interruption_and_cleanup,evidence
"effect-build.JavaScriptBundle.withFile","published v0.3 public operation","scoped callback","orchestrator process plus filesystem","direct Effect FileSystem/Path/Crypto calls","caller supplies path and metadata; composed platform layer supplies services","borrowed artifact live only inside callback scope","decode input -> stat/read/digest -> register object identity -> invoke callback -> unregister","effect-build and filesystem; no provider engine","borrowed file observation; no publication","scope unregisters liveness; file remains caller-owned","packages/effect-build/src/index.ts:15-23; packages/effect-build/src/JavaScriptBundle.ts:286-320 @ f06f96c/a301765"
"effect-build/Integration.executeCommand","published v0.3 author operation","Effect function","local child process","argv plus stdout/stderr byte streams and exit code","caller explicitly supplies executable and argv; platform layer supplies spawner","one scoped child","ChildProcess.make(shell=false,forceKillAfter=2s) -> concurrently drain bounded stdout/stderr and await exit","selected executable child","bounded command completion; no artifact ownership","scope closure terminates child; interruption remains Cause interruption","packages/effect-build/src/Integration.ts:39-94 @ f06f96c/a301765"
"effect-build/Integration.inspectLiveJavaScriptBundle","published v0.3 author operation","Effect function","orchestrator process plus filesystem","direct object identity and FileSystem/Crypto calls","artifact was minted by active withFile scope","borrowed live artifact","check WeakSet-like live membership -> stat/read/digest -> compare bytes/digest","effect-build and filesystem","same borrowed artifact or typed access/validity error","no mutation; liveness ends with owner scope","packages/effect-build/src/Integration.ts:107-115; packages/effect-build/src/JavaScriptBundle.ts:323-340 @ f06f96c/a301765"
"effect-build/Integration.withOwnedJavaScriptBundle","published v0.3 author operation","scoped producer/use callbacks","orchestrator process plus filesystem","direct calls; arbitrary producer Effect may cross another boundary","author supplies producer; platform layer owns filesystem/path/crypto","owned temporary root containing a borrowed callback artifact","claim temp root -> producer -> JavaScriptBundle.withFile -> use -> recursive cleanup -> unregister","effect-build owns staging lifecycle; producer owns provider work","borrowed callback artifact only","cleanup runs after success, typed failure, defect, or interruption","packages/effect-build/src/Integration.ts:301-369,521-538 @ f06f96c/a301765"
"effect-build/Integration.produceExecutable","published v0.3 author operation","Effect function with prepare/produce callbacks","orchestrator process plus filesystem; provider callback may cross another boundary","direct calls plus provider-defined transport","caller/provider selects builder and target; effect-build owns destination discipline","one-shot staged candidate and destination claim","claim destination -> same-parent staging -> prepare -> provider produce -> inspect native file -> optional hash -> atomic rename","provider callback does compilation; effect-build validates and publishes","atomic published durable executable","scope cleans uncommitted staging and destination claim; interruption is not translated","packages/effect-build/src/Integration.ts:418-519 @ f06f96c/a301765"
"effect-build/Provider.define","published v0.3 author factory","synchronous definition returning functions and Layer","same isolate during definition; local child during resulting layer/compile calls","direct function construction; resulting selected-command argv boundary","provider definition fixes target mapping/argv; resulting layer discovers explicit or PATH tool","definition value plus layer-scoped selected tool; compile calls one-shot","validate definition -> construct schemas/adapter -> layer discover/probe -> service wrappers","effect-build constructs the adapter; selected CLI does compilation","author API plus resulting service","no provider work at definition time; layer and calls use Effect scope","packages/effect-build/src/Provider.ts:219-379 @ f06f96c/a301765"
"effect-build-bun.layer","published v0.3 integration operation","Effect Layer","orchestrator plus short Bun probe child","selected command probe returning JSON","explicit absolute executable or PATH; observed canonical path/version becomes selected tool","layer-scoped immutable selected-tool observation","discoverTool -> run Bun metadata probe -> construct compiler and bound command","Bun probe child reports identity; effect-build validates","Compiler service; no build artifact","probe child scoped; failure typed as ToolNotFound/ToolProbeFailed","packages/effect-build/src/Provider.ts:342-370; packages/effect-build-bun/src/Adapter.ts:74-80 @ f06f96c/a301765"
"effect-build-bun.compileExecutable / Compiler.compileExecutable","published v0.3 provider operation","Effect function/service method","selected Bun local child","CLI argv and terminal streams","layer-selected Bun 1.3.9; caller selects target/options; Bun owns project/environment interpretation","one-shot child plus staged durable output","preflight -> sibling staging -> bun build --compile [target/options] --outfile -> inspect target -> atomic rename","Bun child performs bundle and executable generation","atomic published executable","child scope is interruptible; effect-build cleans uncommitted staging","packages/effect-build-bun/src/index.ts:48-50; Adapter.ts:74-114; packages/effect-build/src/standalone/internal/CompilerEngine.ts:386-457 @ f06f96c/a301765"
"effect-build-bun.compileExecutableMatrix / Compiler.compileExecutableMatrix","published v0.3 derived provider operation","Effect function/service method","orchestrator plus one Bun child per cell, possibly concurrent","repeated CLI argv/terminal streams","one layer-selected Bun identity for homogeneous provider matrix; caller selects targets and bounded concurrency","batch of independent one-shot cells; partial-success report on failure","preflight all cells/destinations -> Effect.forEach scalar compile -> collect artifacts/failures","each Bun child compiles one cell; no provider-native matrix engine","multiple atomic published executables; successful cells survive other cell failures","interruption closes active child scopes; no rollback of already-published cells","packages/effect-build-bun/src/index.ts:52-54; packages/effect-build/src/standalone/internal/CompilerEngine.ts:459-501 @ f06f96c/a301765"
"effect-build-bun.withJavaScriptBundle / Compiler.withJavaScriptBundle","published v0.3 provider operation","scoped callback","selected Bun local child","CLI argv/terminal streams plus filesystem/metafile handoff","same layer-selected Bun 1.3.9; Bun project/config/environment behavior remains native except explicit flags","one-shot child; temporary bundle borrowed only during callback","validate entry -> temp root -> bun build --target=node --packages=bundle --outfile --metafile -> validate -> callback -> cleanup","Bun child performs build; effect-build reads and validates output/metafile","borrowed single JS file; multi-output graph intentionally excluded","scope terminates child and removes temp root after all Cause forms","packages/effect-build-bun/src/index.ts:56-60; packages/effect-build-bun/src/Bundle.ts:366-463 @ f06f96c/a301765"
"effect-build-deno.layer","published v0.3 integration operation","Effect Layer","orchestrator plus short Deno probe child","selected command probe returning JSON","explicit absolute executable or PATH; observed Deno.execPath/version becomes selected tool","layer-scoped immutable selected-tool observation","discoverTool -> deno eval metadata probe -> construct compiler","Deno probe child reports identity; effect-build validates","Compiler service","probe child scoped and typed failures","packages/effect-build/src/Provider.ts:342-370; packages/effect-build-deno/src/Adapter.ts:168-175 @ f06f96c/a301765"
