claim_id,class,subject,claim,provenance,disposition,source_id,source_coordinate,retrieval_date,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,empirical_status,notes
DENO-CL-001,request mode,Deno.bundle,write=false is structured in-memory output topology,official-upstream,established,DENO-SRC-API-DTS,Options.write / Result.outputFiles,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-002,request mode,Deno.bundle,outputPath/outputDir plus write selects direct filesystem publication,official-upstream,established,DENO-SRC-API-DTS,Options.outputPath/outputDir/write,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-003,modifier,Deno.bundle,format is esm|cjs|iife,official-upstream,established,DENO-SRC-BUNDLE-RS,BundleFormat,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-004,modifier,Deno.bundle,platform is browser|deno,official-upstream,established,DENO-SRC-BUNDLE-RS,BundlePlatform,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-005,modifier,Deno.bundle,codeSplitting and inlineImports affect output graph behavior,official-upstream,established,DENO-SRC-API-DTS,Options.codeSplitting/inlineImports,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-006,modifier,Deno.bundle,packages is bundle|external and explicit external patterns are supported,official-upstream,established,DENO-SRC-BUNDLE-RS,PackageHandling/BundleOptions.external,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-007,modifier,Deno.bundle,sourcemap supports linked|inline|external,official-upstream,established,DENO-SRC-BUNDLE-RS,SourceMapType,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-008,result field,Deno.bundle.Result,"Result contains success, errors, warnings and optional outputFiles",official-upstream,established,DENO-SRC-BUNDLE-TS,bundle() result normalization,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-009,result field,Deno.bundle.OutputFile,"Output file carries path, optional bytes, hash and text()",official-upstream,established,DENO-SRC-API-DTS,Deno.bundle.OutputFile,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-010,runtime capability,Deno.bundle stability,Current API is experimental and requires --unstable-bundle,official-upstream,established,DENO-DOC-BUNDLE-API,Deno.bundle,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
