"operation_id","provider","operation","status","versions","evidence","recommended_boundary"
"BUN-TRANSPILE-SYNC","bun","transpile source synchronously","upstream operation; not frozen for 0.4","1.3.9; comparative source 1.3.14","Bun bun.d.ts:2350-2411 and JSTranspiler.zig:815-918 @ cf6cdbb","direct-host-api in Bun; caller-thread blocking is part of the contract"
"BUN-TRANSPILE-ASYNC","bun","transpile source asynchronously","upstream operation; not frozen for 0.4","1.3.9; comparative source 1.3.14","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb","direct-host-api; runtime-hosted-sidecar only for a non-Bun orchestrator"
"BUN-SCAN","bun","scan exports/imports and fast imports","upstream operation; not frozen for 0.4","1.3.9; comparative probe 1.3.14","Bun bun.d.ts:2350-2411 @ cf6cdbb","direct-host-api; bounded sidecar for serializable batching"
"BUN-BUILD-MEMORY","bun","build/bundle with structured in-memory outputs and virtual files","upstream operation; not frozen for 0.4","1.3.9","Bun bundler docs:295-335 and BuildConfig.files @ cf6cdbb","direct-host-api; bounded sidecar when host independence matters"
"BUN-BUILD-DISK-ASSETS","bun","direct multi-entry JS/CSS/HTML/assets build","v0.3 borrowed single-main wrapper exists; broader operation not frozen","1.3.9","Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463","direct-host-api or selected-command according to authority; never claim multi-output transactionality"
"BUN-PLUGINS-VIRTUAL","bun","plugins, macros, virtual inputs, native onBeforeParse","upstream operation; not frozen for 0.4","1.3.9","Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","direct-host-api; provider-side selected module only as an explicit trust contract"
"BUN-COMPILE-SCALAR","bun","compile one executable","CAN-BUN-012 frozen for 0.4","selected tool 1.3.9","Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","selected-command with Effect staging/publication"
"BUN-COMPILE-MATRIX","bun","compile a homogeneous-provider executable matrix","derived operation frozen for 0.4","selected tool 1.3.9","CompilerEngine.ts:459-501; SURFACE.json derivedOperations","repeated selected-command scalar cells under bounded Effect concurrency"
"BUN-WATCH","bun","watch/rebuild","upstream command only; not frozen","1.3.9","Bun bundler docs:147-153 @ cf6cdbb; issue 5866","selected-command raw process until upstream exposes a typed context"
"DENO-TRANSPILE","deno","transpile source without declaration emission","experimental command; not frozen","2.9.3","Deno cli/lib.rs:216-223 and transpile.rs:107-174 @ f39575e","selected-command for project-aware transpilation; deno_ast only for a distinct pure transform"
"DENO-BUNDLE-MEMORY","deno","structured in-memory bundle","experimental upstream operation; not frozen","2.9.3; comparative R2 2.9.5","Deno lib.deno.unstable.d.ts:11-199 and provider.rs:119-184 @ f39575e","direct Deno.bundle or bounded selected-Deno sidecar; explicitly experimental"
"DENO-BUNDLE-STDOUT","deno","bundle to stdout","experimental upstream operation; not frozen","2.9.3","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e","selected-command with bounded stdout collection and native project authority"
"DENO-BUNDLE-DISK","deno","bundle directly to disk with multi-output assets","experimental upstream operation; not frozen","2.9.3","Deno cli/lib.rs:159-165 and bundle/mod.rs @ f39575e","selected-command for native project authority; provider-direct multi-output mutation"
"DENO-CHECK","deno","type-check a bundle/project","not frozen","2.9.3","Deno bundle/mod.rs:306-395 @ f39575e","selected-command; host bundle API explicitly disables checking"
"DENO-DECLARATIONS","deno","emit declarations while transpiling","not frozen","2.9.3","Deno transpile.rs:236-331 @ f39575e","selected-command with native project/type-checker authority"
"DENO-PROJECT-AUTHORITY","deno","deno.json/workspace/import-map/lock/environment/permissions","authority dimension used by provider operations","2.9.3","Deno exact CLI flags/config source @ f39575e","selected-command plus native declarative project files"
"DENO-COMPILE-SCALAR","deno","compile one executable","CAN-DENO-010 frozen for 0.4","deno and denort 2.9.3","Adapter.ts:168-205; compile.rs:189-218,713-799; CompilerEngine.ts:386-457; SURFACE.json","selected-command with Effect staging/publication"
"DENO-COMPILE-MATRIX","deno","compile a homogeneous-provider executable matrix","derived operation frozen for 0.4","deno and denort 2.9.3","CompilerEngine.ts:459-501; SURFACE.json derivedOperations","repeated selected-command scalar cells under bounded Effect concurrency"
"DENO-RUNTIME-ACQUISITION","deno","target denort acquisition and target binding","part of compile, not a separate public operation","deno/denort 2.9.3","Deno standalone/binary.rs:376-435,502-538 @ f39575e","leave under selected Deno authority; observe cache/network mutation"
"DENO-WATCH","deno","bundle/compile watch and private rebuild context","command process only; not frozen","2.9.3","Deno bundle/mod.rs:1066-1167 and compile.rs:42-67 @ f39575e","selected-command raw session; typed session is upstream-dependent"
"ESB-TRANSFORM","esbuild","transform source","upstream operation; not frozen","0.28.2","esbuild pkg/api/api.go:474-488 and lib/npm/node.ts @ 609683d","official JavaScript API; Go API only for a Go consumer"
"ESB-FORMAT-MESSAGES","esbuild","format structured messages","upstream operation; not frozen","0.28.2","esbuild pkg/api/api.go:715-729 and service.go @ 609683d","official JavaScript API; pure structured result"
"ESB-ANALYZE-METAFILE","esbuild","analyze a metafile","upstream operation; not frozen","0.28.2","esbuild pkg/api/api.go:731-746 and service.go @ 609683d","official JavaScript API; pure structured result"
