source_artifact,source_id,source_kind,mapped_to,mapping,note
provider-operation-inventory.csv @ c4cefd0acc2b,B01,Bun.build one-shot,CO-BUN-06;CO-BUN-07,split,memory vs direct-write publication split
provider-operation-inventory.csv @ c4cefd0acc2b,B02,virtual-file build,CO-BUN-06,demoted,virtual files are a request mode (SC-B-15)
provider-operation-inventory.csv @ c4cefd0acc2b,B03,direct-write bundle,CO-BUN-07,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,B04,bun build one-shot,CO-BUN-08;CO-BUN-09,split,stdout vs direct-write publication split
provider-operation-inventory.csv @ c4cefd0acc2b,B05,bun build --watch,CO-BUN-10,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,B06,plugins/loaders,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-13;CO-BUN-14,demoted,per-build plugins are request modes/sub-operations (SC-B-24); ambient global registration split out as rejected operations
provider-operation-inventory.csv @ c4cefd0acc2b,B07,HTML graph bundle,CO-BUN-06;CO-BUN-07;CO-BUN-09,demoted,HTML graph entry is a request mode (SC-B-16; MSD-12); merged API/command row split by lane+publication
provider-operation-inventory.csv @ c4cefd0acc2b,B08,splitting/chunks/assets/maps/metafile,CO-BUN-06;CO-BUN-07;CO-BUN-09,demoted,splitting/chunks/assets/maps/metafile are modifiers/result fields (SC-B-19..22); merged API/command row resolved
provider-operation-inventory.csv @ c4cefd0acc2b,B09,compile executable,CO-BUN-11;CO-BUN-12,split,merged API/command row split by lane; command lane carries wrapper contract (MSD-01)
provider-operation-inventory.csv @ c4cefd0acc2b,B10,full-stack HTML executable,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,demoted,full-stack is a request mode (SC-B-17; MSD-12)
provider-operation-inventory.csv @ c4cefd0acc2b,D01,Deno.bundle memory,CO-DEN-01,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,D02,Deno.bundle write,CO-DEN-02,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,D03,deno bundle stdout,CO-DEN-03,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,D04,deno bundle outdir/split,CO-DEN-04,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,D05,deno bundle --watch,CO-DEN-05,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,D06,bundle declarations/check,CO-DEN-06;CO-DEN-09,split,merged API/command row resolved to command lane only; bundle vs transpile declarations kept distinct (MSD-05)
provider-operation-inventory.csv @ c4cefd0acc2b,D07,deno compile,CO-DEN-10,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,D08,compile runtime acquisition,CO-DEN-10,demoted,denort acquisition is a declared sub-operation + relations (SC-D-17; MSD-19)
provider-operation-inventory.csv @ c4cefd0acc2b,D09,compiled runtime Deno.bundle,RC-DEN-01,reclassified,runtime capability map entry; falsified availability at observed coordinates
provider-operation-inventory.csv @ c4cefd0acc2b,D10,bundle permission boundary,CO-DEN-01;CO-DEN-02,reclassified,permission authority is a relation/evidence coordinate (SC-D-18; MSD-20)
provider-operation-inventory.csv @ c4cefd0acc2b,E01,build one-shot,CO-ESB-01;CO-ESB-02;CO-ESB-19,split,three publication laws in one row (MSD-14)
provider-operation-inventory.csv @ c4cefd0acc2b,E02,transform,CO-ESB-03,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,E03,context creation,CO-ESB-11;CO-ESB-12,split,context split by captured write mode (MSD-13)
