"operation_id","semantic_identity","original_source_atoms","supplemental_source_rows","candidate_public_surface","provider_publication","published_contract","identity_owner","proposed_package","proposed_subpath","proposed_export","proposed_root_export","proposed_root_export_kind","evidence_coordinate_refs","freeze_recommendation","surface_selection_status","pre_freeze_gate","freeze_gate_status"
"CAN-BUN-001","bun / create-transpiler / host-api / one-shot / {caller-owned-value, none}","","OP-BUN-001","new Bun.Transpiler(options)","none","none","provider-native","effect-build-bun","./Transpiler","make","Transpiler","namespace-reexport","E-BUN-001;E-BUN-002","ship","selected-candidate-not-frozen","GC/native backing lifetime and concurrency","blocked-pending-executable-proof"
"CAN-BUN-002","bun / transpile-source-async / host-api / one-shot / {caller-owned-value, none}","","OP-BUN-002","Bun.Transpiler.transform","none","none","provider-native","effect-build-bun","./Transpiler","transform","Transpiler","namespace-reexport","E-BUN-003","ship","selected-candidate-not-frozen","provider work after Effect interruption","blocked-pending-executable-proof"
"CAN-BUN-003","bun / transpile-source-sync / host-api / one-shot / {caller-owned-value, none}","","OP-BUN-003","Bun.Transpiler.transformSync","none","none","provider-native","effect-build-bun","./Transpiler","transformSync","Transpiler","namespace-reexport","E-BUN-004","ship","selected-candidate-not-frozen","non-interruptible execution boundary","blocked-pending-executable-proof"
"CAN-BUN-004","bun / scan-source / host-api / one-shot / {caller-owned-value, none}","","OP-BUN-004","Bun.Transpiler.scan","none","none","provider-native","effect-build-bun","./Transpiler","scan","Transpiler","namespace-reexport","E-BUN-005","ship","selected-candidate-not-frozen","latency and adversarial accuracy","blocked-pending-executable-proof"
"CAN-BUN-005","bun / scan-imports-fast / host-api / one-shot / {caller-owned-value, none}","","OP-BUN-005","Bun.Transpiler.scanImports","none","none","provider-native","effect-build-bun","./Transpiler","scanImports","Transpiler","namespace-reexport","E-BUN-006","ship","selected-candidate-not-frozen","adversarial accuracy boundary","blocked-pending-executable-proof"
"CAN-BUN-006","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","B01.1;B02.1;B06.1;B06.2;B07.1;B08.1;B08.2","OP-BUN-006","Bun.build without direct output","none","none","provider-native","effect-build-bun","./Build","build","Build","namespace-reexport","E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010","ship","selected-candidate-not-frozen","cancellation and retained artifact lifetime","blocked-pending-executable-proof"
"CAN-BUN-007","bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","B01.2;B02.1;B03.1;B06.1;B06.2;B07.1;B08.1;B08.2","OP-BUN-007","Bun.build with outdir/direct output","provider-direct-durable","provider-direct-durable","provider-native","effect-build-bun","./BuildToDirectory","buildToDirectory","BuildToDirectory","namespace-reexport","E-BUN-011;E-BUN-021;E-BUN-022","ship","selected-candidate-not-frozen","partial writes; pre-existing outputs; interruption remnants","blocked-pending-executable-proof"
"CAN-BUN-008","bun / build-stdout / selected-command / one-shot / {caller-owned-value, none}","B04.1;B06.1;B08.1","OP-BUN-008","selected bun build stdout","none","none","provider-native","effect-build-bun","./BuildCommand","build","BuildCommand","namespace-reexport","E-BUN-012","ship","selected-candidate-not-frozen","collection bounds and signal outcome","blocked-pending-executable-proof"
"CAN-BUN-009","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","B04.2;B06.1;B07.1;B08.1;B08.2","OP-BUN-009","selected bun build with outfile/outdir","provider-direct-durable","provider-direct-durable","provider-native","effect-build-bun","./BuildCommandToDirectory","buildToDirectory","BuildCommandToDirectory","namespace-reexport","E-BUN-013;E-BUN-023;E-BUN-024;E-BUN-025","ship","selected-candidate-not-frozen","partial writes; replacement; signal remnants","blocked-pending-executable-proof"
"CAN-BUN-010","bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","B05.1","OP-BUN-010","selected bun build --watch","provider-direct-durable","provider-direct-durable","provider-native","effect-build-bun","./BuildWatchCommand","watch","BuildWatchCommand","namespace-reexport","E-BUN-014;E-BUN-026","ship","selected-candidate-not-frozen","readiness; recovery; subtree termination; remnants","blocked-pending-executable-proof"
