evidence_id,provider,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,evidence_kind,observation,source_id,retrieval_date,limitation
DENO-EV-001,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,bundle-api,research,tagged-source,shape-established,DENO-SRC-BUNDLE-RS; DENO-SRC-API-DTS,2026-08-19,No runtime execution.
DENO-EV-002,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,bundle-command,research,tagged-source,shape-established,DENO-SRC-BUNDLE-CLI; DENO-SRC-CLI-DEFS,2026-08-19,No command execution.
DENO-EV-003,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,transpile,research,tagged-source,shape-established,DENO-SRC-TRANSPILE,2026-08-19,No command execution.
DENO-EV-004,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,compile,research,tagged-source,shape-established,DENO-SRC-COMPILE; DENO-SRC-STANDALONE,2026-08-19,No compile execution.
DENO-EV-005,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,x86_64-unknown-linux-gnu,compile-target,research,tagged-source,advertised-target,DENO-SRC-CLI-DEFS; DENO-SRC-STANDALONE,2026-08-19,Selection is source-proven; production/execution not certified.
DENO-EV-006,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,aarch64-unknown-linux-gnu,compile-target,research,tagged-source,advertised-target,DENO-SRC-CLI-DEFS; DENO-SRC-STANDALONE,2026-08-19,Selection is source-proven; production/execution not certified.
DENO-EV-007,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,x86_64-pc-windows-msvc,compile-target,research,tagged-source,advertised-target,DENO-SRC-CLI-DEFS; DENO-SRC-STANDALONE,2026-08-19,Selection is source-proven; production/execution not certified.
DENO-EV-008,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,aarch64-pc-windows-msvc,compile-target,research,tagged-source,advertised-target,DENO-SRC-CLI-DEFS; DENO-SRC-STANDALONE,2026-08-19,Selection is source-proven; production/execution not certified.
DENO-EV-009,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,x86_64-apple-darwin,compile-target,research,tagged-source,advertised-target,DENO-SRC-CLI-DEFS; DENO-SRC-STANDALONE,2026-08-19,Selection is source-proven; production/execution not certified.
DENO-EV-010,deno,v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,aarch64-apple-darwin,compile-target,research,tagged-source,advertised-target,DENO-SRC-CLI-DEFS; DENO-SRC-STANDALONE,2026-08-19,Selection is source-proven; production/execution not certified.
DENO-EV-011,deno,Deno 2.9.3 recorded implementation,GitHub Actions recorded host,compiled host,compiled-runtime-api,historical-execution,recorded-execution,Deno.bundle unavailable,EB-DENO-RECEIPT,2026-08-19,Historical exact receipt only.
DENO-EV-012,deno,Deno 2.9.3 recorded implementation,GitHub Actions recorded host,host runtime,permission/no-grant,historical-execution,recorded-execution,contradicted older declaration expectation,EB-DENO-RECEIPT,2026-08-19,Current v2.9.5 must be re-executed.
DENO-EV-013,deno,v2.9.5 + esbuild 0.25.5 relation,source-inspection,host-native helper,helper-acquisition,research,tagged-source,helper relation established,DENO-SRC-ESBUILD,2026-08-19,Actual cache/download/offline behavior not executed.
