"operation_id","provider","operation","lane","lifecycle","resource_result","provider_publication","output_publication","published_contract","identity_owner","semantic_identity","candidate_public_surface","supplemental_source_rows","provenance","semantic_disposition","product_priority","freeze_recommendation","surface_selection_status","pre_freeze_gate","freeze_gate_status","evidence_gate_basis","gate_failure_action","compatibility_commitment","implementation_status","certification_status","evidence_coordinate_refs","contract_summary","unresolved_evidence","surface_kind","proposed_package","proposed_subpath","proposed_export","proposed_root_export","proposed_root_export_kind","surface_rationale"
"CAN-BUN-001","bun","create-transpiler","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / create-transpiler / host-api / one-shot / {caller-owned-value, none}","new Bun.Transpiler(options)","OP-BUN-001","official-upstream","established","ship","ship","selected-candidate-not-frozen","GC/native backing lifetime and concurrency","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-001;E-BUN-002","Reusable caller-owned configured object; no declared release protocol.","GC/native backing lifetime and concurrency","public-operation-export","effect-build-bun","./Transpiler","make","Transpiler","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-002","bun","transpile-source-async","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / transpile-source-async / host-api / one-shot / {caller-owned-value, none}","Bun.Transpiler.transform","OP-BUN-002","official-upstream","established","ship","ship","selected-candidate-not-frozen","provider work after Effect interruption","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-003","Async one-unit transform; imports are not resolved.","provider work after Effect interruption","public-operation-export","effect-build-bun","./Transpiler","transform","Transpiler","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-003","bun","transpile-source-sync","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / transpile-source-sync / host-api / one-shot / {caller-owned-value, none}","Bun.Transpiler.transformSync","OP-BUN-003","official-upstream","established","ship","ship","selected-candidate-not-frozen","non-interruptible execution boundary","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-004","Synchronous one-unit transform on the calling thread.","non-interruptible execution boundary","public-operation-export","effect-build-bun","./Transpiler","transformSync","Transpiler","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-004","bun","scan-source","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / scan-source / host-api / one-shot / {caller-owned-value, none}","Bun.Transpiler.scan","OP-BUN-004","official-upstream","established","ship","ship","selected-candidate-not-frozen","latency and adversarial accuracy","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-005","Structured export and typed-import scan.","latency and adversarial accuracy","public-operation-export","effect-build-bun","./Transpiler","scan","Transpiler","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-005","bun","scan-imports-fast","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / scan-imports-fast / host-api / one-shot / {caller-owned-value, none}","Bun.Transpiler.scanImports","OP-BUN-005","official-upstream","established","ship","ship","selected-candidate-not-frozen","adversarial accuracy boundary","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-006","Faster import-only scan with provider-declared accuracy tradeoff.","adversarial accuracy boundary","public-operation-export","effect-build-bun","./Transpiler","scanImports","Transpiler","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-006","bun","build-memory","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","Bun.build without direct output","OP-BUN-006","official-upstream","established","ship","ship","selected-candidate-not-frozen","cancellation and retained artifact lifetime","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010","Native BuildOutput and BuildArtifact values; no durable publication.","cancellation and retained artifact lifetime","public-operation-export","effect-build-bun","./Build","build","Build","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-007","bun","build-direct-write","host-api","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","Bun.build with outdir/direct output","OP-BUN-007","official-upstream","established","ship","ship","selected-candidate-not-frozen","partial writes; pre-existing outputs; interruption remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","receipt-bounded-not-certified","E-BUN-011;E-BUN-021;E-BUN-022","Provider writes an output tree directly; no rollback or atomicity claim.","partial writes; pre-existing outputs; interruption remnants","public-operation-export","effect-build-bun","./BuildToDirectory","buildToDirectory","BuildToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-008","bun","build-stdout","selected-command","one-shot","caller-owned-value","none","none","none","provider-native","bun / build-stdout / selected-command / one-shot / {caller-owned-value, none}","selected bun build stdout","OP-BUN-008","official-upstream","established","ship","ship","selected-candidate-not-frozen","collection bounds and signal outcome","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-012","Finite collected stdout plus raw diagnostics and exit status.","collection bounds and signal outcome","public-operation-export","effect-build-bun","./BuildCommand","build","BuildCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-009","bun","build-direct-write","selected-command","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","selected bun build with outfile/outdir","OP-BUN-009","official-upstream","established","ship","ship","selected-candidate-not-frozen","partial writes; replacement; signal remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","receipt-bounded-not-certified","E-BUN-013;E-BUN-023;E-BUN-024;E-BUN-025","Selected-command authority with provider-direct output topology.","partial writes; replacement; signal remnants","public-operation-export","effect-build-bun","./BuildCommandToDirectory","buildToDirectory","BuildCommandToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-010","bun","build-watch","selected-command","scoped-process","long-lived-handle","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","selected bun build --watch","OP-BUN-010","official-upstream","established","ship","ship","selected-candidate-not-frozen","readiness; recovery; subtree termination; remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","receipt-bounded-not-certified","E-BUN-014;E-BUN-026","Opaque scoped child and raw byte streams; repeated direct writes.","readiness; recovery; subtree termination; remnants","public-operation-export","effect-build-bun","./BuildWatchCommand","watch","BuildWatchCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
