operation_id,semantic_key,provider,operation,lane,lifecycle,resource_result,output_publication,request_type,result_type,sub_operations,request_modes_and_modifiers,result_fields,host_applicability,operation_specific_holes,cancellation_and_interruption,diagnostics_ownership,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,recommendation,recommendation_rationale,gate_before_freeze,evidence_ids
ESB-OP-01,esbuild / build-memory / in-process-api / one-shot / {caller-owned-value; none},esbuild,build-memory,in-process-api,one-shot,caller-owned-value,none,BuildOptions with write:false,Promise<BuildResult>,none,"write:false (required; write defaults to true on any hasFS host); bundle; splitting; format; platform; target; supported; external; packages; alias; conditions; mainFields; resolveExtensions; preserveSymlinks; nodePaths; loader map; inject; banner; footer; define; pure; keepNames; entryPoints; stdin; plugins; absWorkingDir; tsconfig/tsconfigRaw; metafile; mangleCache; entryNames/chunkNames/assetNames; outExtension; publicPath; outbase; sourcemap; legalComments; minify*; lineLimit; charset; treeShaking; ignoreAnnotations; jsx*; drop; dropLabels; mangleProps/reserveProps/mangleQuoted; absPaths; color; logLevel; logLimit; logOverride; logStyle","errors: Message[]; warnings: Message[]; outputFiles: OutputFile[] (path, contents, hash, lazy text); metafile (only when metafile:true); mangleCache (only when supplied)",node; bun (npm package under bun runtime - unproven); deno; browser-wasm,"outfile/outdir are still validated even with write:false; OutputFile.hash carries no declared algorithm, so it cannot satisfy D12's algorithm-qualified digest without a separate traversal",No provider cancellation exists for a one-shot build; only a context can cancel. Effect interruption stops the fiber awaiting the promise; the native child continues the build.,"esbuild owns Message/Note/Location; the shared native child is spawned with stderr:'inherit', so any stderr esbuild emits goes straight to the host process stderr and cannot be captured or redirected by effect-build",UPSTREAM-DIRECT,established,high,uncommitted pending the D9 matrix,not-started,not-certified,ship,"The core scoped JavaScript-bundle capability AGENTS.md already assigns to esbuild, source-established in the tagged declarations and the shipped implementation, with a clean caller-owned result and no publication law to get wrong.","P-ESB-11 interruption-during-build; P-ESB-12 plugin cleanup on interruption; P-ESB-16 OutputFile.hash algorithm identification",EV-ESB-002; EV-ESB-003; EV-ESB-009; EV-ESB-021; EV-ESB-023
ESB-OP-02,esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value; provider-direct-durable},esbuild,build-direct-write,in-process-api,one-shot,caller-owned-value,provider-direct-durable,BuildOptions with write:true and outfile or outdir,Promise<BuildResult>,none,"write:true (the default on node/deno - writeDefault = streamIn.hasFS); outfile; outdir; outbase; allowOverwrite; entryNames/chunkNames/assetNames; outExtension; publicPath; metafile; plus every mode listed for ESB-OP-01","errors; warnings; metafile; mangleCache. outputFiles is absent by construction when write is true.",node; bun (unproven); deno; browser-wasm rejects write with 'The \"write\" option is unavailable in this environment',"esbuild writes into a caller-selected destination it does not stage or atomically publish; 0.28.2's changelog states input files are protected from overwrite without --allow-overwrite by not writing any files when a build error is encountered, and that this protection had regressed since 0.17.0 - so the protection is a 0.28.2+ fact only. Nothing upstream states what happens on interruption mid-write.","No provider cancellation. Interruption releases the fiber while the native child may still be writing. Publication is provider-direct-durable: no staging, no atomic rename, no rollback, and partial durable output after failure or interruption must be declared possible.","Same as ESB-OP-01. A failed build additionally produces a BuildFailure Error carrying errors and warnings arrays.",UPSTREAM-DIRECT,established,high,uncommitted pending the D9 matrix,not-started,not-certified,ship,"Native, default, and unavoidable for consumers who want esbuild's own output topology (chunks, assets, maps, css bundles). It ships only with an explicit provider-direct-durable publication law and an explicit no-rollback statement, per the reconciliation's lifecycle-specific publication rule.","P-ESB-13 partial-write and remnant enumeration under induced failure; P-ESB-14 interruption during write; P-ESB-15 allowOverwrite and pre-existing destination behavior at 0.28.2 versus <=0.28.1",EV-ESB-002; EV-ESB-003; EV-ESB-014; EV-ESB-023
ESB-OP-03,esbuild / transform / in-process-api / one-shot / {caller-owned-value; none},esbuild,transform,in-process-api,one-shot,caller-owned-value,none,"TransformOptions plus one string or Uint8Array source",Promise<TransformResult>,none,"sourcefile; loader (single value, not a map); banner (string); footer (string); plus the CommonOptions modifiers (format, target, supported, platform, minify*, jsx*, define, pure, keepNames, sourcemap, legalComments, sourceRoot, sourcesContent, charset, lineLimit, treeShaking, ignoreAnnotations, drop, dropLabels, mangle*, absPaths, color, logLevel, logLimit, logOverride, logStyle, tsconfigRaw)","code: string; map: string; warnings: Message[]; mangleCache (only when supplied); legalComments (only when legalComments is 'external')",node; bun (unproven); deno; browser-wasm,"transform is text-to-text over a single source unit and must never be modelled as a degenerate graph build: it accepts no entryPoints, no bundle, no plugins, no outdir, and no external. It has no result field for output files. Large inputs are handed to the child through a temporary file under os.tmpdir() named esbuild-<32 random bytes>, which is a filesystem side effect the declarations do not mention.",No provider cancellation. Interruption stops the fiber awaiting the promise.,"esbuild owns Message/Note/Location; warnings only - errors arrive as a rejected TransformFailure. Inherited-stderr caveat of ESB-OP-01 applies.",UPSTREAM-DIRECT,established,medium,uncommitted pending the D9 matrix,not-started,not-certified,ship,"A distinct provider-only domain with no portable peer in the five-package star, source-established, and cheap to expose truthfully because it publishes nothing.","P-ESB-17 large-input temp-file lifecycle, cleanup, and behavior under interruption; P-ESB-18 diagnostics shape on TransformFailure",EV-ESB-002; EV-ESB-003; EV-ESB-009; EV-ESB-023
ESB-OP-04,esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value; none},esbuild,analyze-metafile,in-process-api,one-shot,caller-owned-value,none,"Metafile object or JSON string, plus AnalyzeMetafileOptions",Promise<string>,none,color; verbose,"one string - esbuild's own pretty-printed bundle report",node; bun (unproven); deno; browser-wasm,"The result is human-formatted text, not structured data. It is a rendering of a metafile the caller already holds; it adds no graph information. Passing an object causes the JS layer to JSON.stringify it before sending.",No provider cancellation. Interruption stops the fiber awaiting the promise.,esbuild owns the report format entirely; effect-build must not reformat or parse it.,UPSTREAM-DIRECT,established,low,uncommitted pending the D9 matrix,not-started,not-certified,ship,"A genuinely distinct native operation (not a build result field) that the imported crosswalk already isolates, with no publication and no lifecycle risk. Its only law is: preserve the native schema and never parse the returned text.","P-ESB-19 confirm the returned text is not machine-contracted, so no effect-build API derives structure from it",EV-ESB-002; EV-ESB-003; EV-ESB-016; EV-ESB-023
ESB-OP-05,esbuild / format-messages / in-process-api / one-shot / {caller-owned-value; none},esbuild,format-messages,in-process-api,one-shot,caller-owned-value,none,"PartialMessage[] plus FormatMessagesOptions {kind, color, terminalWidth, logStyle}",Promise<string[]>,none,kind (required: 'error' or 'warning'); color; terminalWidth; logStyle ('default' or 'visualstudio'),one string per input message,node; bun (unproven); deno; browser-wasm,"Absent entirely from the imported inventory rows E01-E12. It requires a live native child purely to render strings. kind is mandatory and unvalidated beyond the two literals.",No provider cancellation. Interruption stops the fiber awaiting the promise.,"This operation is the only supported way to reproduce esbuild's exact terminal diagnostic rendering, which D2 requires the product to preserve rather than re-render.",UPSTREAM-DIRECT,established,low,uncommitted pending the D9 matrix,not-started,not-certified,ship,"D2 obliges the product to preserve native diagnostics; this is upstream's own renderer and the only honest way to produce esbuild-identical output. It costs one native round-trip and publishes nothing.","P-ESB-20 confirm no behavior depends on it beyond string rendering; record that logStyle 'visualstudio' exists only at 0.28.2+",EV-ESB-002; EV-ESB-003; EV-ESB-014
ESB-OP-06,esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value; none},esbuild,build-memory-sync,in-process-api,one-shot,caller-owned-value,none,BuildOptions with write:false,BuildResult (returned synchronously),none,as ESB-OP-01 except plugins,"as ESB-OP-01",node only,"Plugins are refused with 'Cannot use plugins in synchronous API calls'. The call does not use the shared long-lived child: it either delegates to a worker_thread (default) or runs execFileSync with maxBuffer = ESBUILD_MAX_BUFFER || 16 MiB, so sufficiently large output fails with ENOBUFS. Throws on deno ('does not work in Deno') and browser ('only works in node').","None. The call blocks the calling thread to completion. There is no interruption point at all: an Effect wrapping it cannot be interrupted and must not claim to be.","Same inherited-stderr caveat; the worker-thread path additionally reconstructs synthetic build errors (fakeBuildError) rather than forwarding native ones.",UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,reject,"A blocking, non-interruptible call contradicts AGENTS.md's interruption law (interruption closes Scope and terminates active children) and Effect's fiber model; wrapping it would be a false interruption promise. It also loses plugin authority, imposes an undocumented 16 MiB output ceiling, and does not exist on two of four hosts. ESB-OP-01 is the complete migration target.",none - rejection is decided on the declarations and shipped implementation and needs no probe,EV-ESB-002; EV-ESB-003; EV-ESB-012; EV-ESB-013
ESB-OP-07,esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value; provider-direct-durable},esbuild,build-direct-write-sync,in-process-api,one-shot,caller-owned-value,provider-direct-durable,BuildOptions with write:true and outfile or outdir,BuildResult (returned synchronously),none,as ESB-OP-02 except plugins,as ESB-OP-02,node only,"As ESB-OP-06, plus every provider-direct-durable hazard of ESB-OP-02 with no interruption point at which to observe remnants.",None; see ESB-OP-06.,see ESB-OP-06,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,reject,Same rationale as ESB-OP-06; ESB-OP-02 is the migration target.,none,EV-ESB-002; EV-ESB-003; EV-ESB-012; EV-ESB-013
ESB-OP-08,esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value; none},esbuild,transform-sync,in-process-api,one-shot,caller-owned-value,none,TransformOptions plus one source,TransformResult (returned synchronously),none,as ESB-OP-03,as ESB-OP-03,node only,"Blocking; 16 MiB output ceiling; unavailable on deno and browser. Uses fsSync for the large-input temp file, so the temp file is written and unlinked synchronously.",None; see ESB-OP-06.,see ESB-OP-06,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,reject,Same rationale as ESB-OP-06; ESB-OP-03 is the migration target.,none,EV-ESB-002; EV-ESB-003; EV-ESB-012; EV-ESB-013
ESB-OP-09,esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value; none},esbuild,analyze-metafile-sync,in-process-api,one-shot,caller-owned-value,none,Metafile or JSON string plus AnalyzeMetafileOptions,string (returned synchronously),none,as ESB-OP-04,as ESB-OP-04,node only,Blocking; 16 MiB ceiling; unavailable on deno and browser.,None; see ESB-OP-06.,see ESB-OP-06,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,reject,Same rationale as ESB-OP-06; ESB-OP-04 is the migration target.,none,EV-ESB-002; EV-ESB-003; EV-ESB-012; EV-ESB-013
ESB-OP-10,esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value; none},esbuild,format-messages-sync,in-process-api,one-shot,caller-owned-value,none,PartialMessage[] plus FormatMessagesOptions,string[] (returned synchronously),none,as ESB-OP-05,as ESB-OP-05,node only,Blocking; 16 MiB ceiling; unavailable on deno and browser.,None; see ESB-OP-06.,see ESB-OP-06,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,reject,Same rationale as ESB-OP-06; ESB-OP-05 is the migration target.,none,EV-ESB-002; EV-ESB-003; EV-ESB-012; EV-ESB-013
