evidence_id,provider,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,evidence_class,observation,source_artifact,operation_refs,support_status,limitations
EC-BUN-SRC,bun,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,not-executed,declared targets,tagged declarations + Zig source corroboration,research,UPSTREAM-DIRECT,"Transpiler/BuildConfig/CompileBuildOptions/BuildArtifact/plugin declarations; JSBundler/JSTranspiler/CompileTarget source",bun supplement E-BUN-001..020 @ 509d7d6b91c68da72903a0a7ab9f74e9b0230269,CO-BUN-01..CO-BUN-14,source-exact-only; no support commitment,No runtime execution; shape only
EC-BUN-DOC,bun,Bun 1.3.14 tagged documentation,not-executed,documented targets,bundler/transpiler/executables/bytecode/plugins/html/fullstack/standalone docs,research,UPSTREAM-DIRECT,Documented API/CLI surface incl. watch (CLI-only) and executable target matrix,bun supplement E-BUN-001..020 @ 509d7d6,CO-BUN-01..CO-BUN-14,source-exact-only,Documentation cannot certify cancellation/cleanup/remnants/ranges
EC-BUN-RECEIPT-HOSTAPI,bun,Bun 1.3.9 and 1.3.14 exact selected runtimes; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,JS bundle + HTML graph + api-compile,host API direct-write; API compile; settlement observation,historical-execution,EXACT-RECEIPT,Direct-write compile produced one executable; HTML direct-write produced JS/HTML/CSS; no output before Promise settled,bun supplement E-BUN-021/E-BUN-022 (Actions run 31971767617 artifact 9269991589),CO-BUN-07;CO-BUN-11,exact-coordinate-only,One fixture; no cancellation/partial-write/atomicity/retention proof
EC-BUN-RECEIPT-PROVIDER,bun,Bun 1.3.9 exact selected command; receipt source 9b0d2f5,ubuntu-latest x64 GitHub Actions,node/browser/bun-linux-x64,selected-command bundle/HTML/browser-module/watch/compile fixtures,historical-execution,EXACT-RECEIPT,"Narrow node-main bundle, HTML graph, browser-module output, raw watch with SIGTERM exit, 102MB executable with Bun self-report",bun supplement E-BUN-023..027 (run 31971767617),CO-BUN-09;CO-BUN-10;CO-BUN-12,exact-coordinate-only,"Narrow fixtures; broader static-web candidate rejected by recorded oracle"
EC-BUN-VERSION-POINTS,bun,Bun 1.3.9 and 1.3.14 exact,ubuntu-latest x64,tested fixture coordinates,capability-presence version boundary,historical-execution,EXACT-RECEIPT,Selected build/compile/watch/metafile capabilities observed at both exact versions,bun supplement E-BUN-028/029,CO-BUN-06..CO-BUN-12,exact-coordinate-only,Two points; never an interval
EC-EB-IMPL,bun,effect-build source c4cefd0acc2b7854cc25513967af1a8d415ccab0,source inspection,node + enumerated Bun targets,current package implementation,research,REPOSITORY-DIRECT,Package implements selected-command compileExecutable staging/commit and narrow bundle continuation,bun supplement E-EB-001,CO-BUN-09;CO-BUN-12,implementation-exact-base,Implementation status is not validity/commitment/certification
EC-DEN-SRC,deno,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a + six target triples,ext/bundle + cli bundle/transpile/compile/standalone + cli defs + unstable dts,research,UPSTREAM-DIRECT,Host/CLI bundle shape; transpile/declaration topology; compile/denort/VFS/permission plumbing,deno supplement DENO-EV-001..010/013 @ 34db6a6,CO-DEN-01..CO-DEN-11,source-exact-only,No runtime execution at v2.9.5
EC-DEN-TARGETS,deno,Deno v2.9.5 tagged parser SUPPORTED_OS + standalone binary selection,source-inspection,x86_64/aarch64 x linux-gnu/windows-msvc/apple-darwin,compile target selection,research,UPSTREAM-DIRECT,Six advertised target triples each selecting a target-specific denort archive,deno supplement DENO-EV-005..010,CO-DEN-10,advertised-capability-not-support,Selection source-proven; production/execution not certified
EC-DEN-RECEIPT,deno,Deno 2.9.3 recorded implementation,GitHub Actions recorded host,compiled fixture + host runtime,compiled-runtime-api absence; permission/no-grant observation,historical-execution,RECORDED-EXECUTION,Compiled Deno.bundle unavailable; no-grant permission observation contradicting older expectation,deno supplement DENO-EV-011/012 (run 31971767617),RC-DEN-01;CO-DEN-01;CO-DEN-02,exact-historical-coordinate,Not projectable onto v2.9.5
EC-DEN-HELPER,deno,Deno v2.9.5 + esbuild helper 0.25.5 relation,source-inspection,host-native helper,helper acquisition,research,UPSTREAM-DIRECT,Bundling ensures platform-specific esbuild 0.25.5 selected from build-host OS/arch,deno supplement DENO-EV-013,CO-DEN-01..CO-DEN-06,relation-established,Cache/download/offline behavior not executed
EC-ESB-PKG,esbuild,esbuild@0.28.2 published package verified against registry dist.shasum + @esbuild/linux-x64@0.28.2 binary matching esbuild.binaryHashes,package inspection,n/a,"declarations, shipped implementation, install script, CLI entry, metadata",research,UPSTREAM-DIRECT,Five-component identity grounded in bytes; one coherence cell closed end-to-end,esbuild supplement EV-ESB-001..013 @ c75e91b,CO-ESB-01..CO-ESB-19;RC-ESB-01,source-exact-only,Coherence verified at exactly one platform cell
EC-ESB-SRC,esbuild,tagged source v0.28.2 (types.ts byte-identical to shipped main.d.ts; common.ts; node.ts; deno/mod.ts; browser.ts),source-inspection,n/a,control-flow reading of shipped code,research,UPSTREAM-DIRECT,"write default, host-stdout path, shared-child ownership, dispose/onDispose ordering, rebuild coalescing, post-dispose gap",esbuild supplement EV-ESB-002/003/011/012/013,CO-ESB-01..CO-ESB-19,source-exact-only,Control-flow reading is not runtime proof
EC-ESB-CHANGELOG,esbuild,esbuild CHANGELOG at v0.28.2,source-inspection,n/a,release-note behavioral facts,research,UPSTREAM-DIRECT,"allowOverwrite regression window 0.17.0-0.28.1; logStyle visualstudio at 0.28.2; Go toolchain 1.25.7->1.26.1; duplicate-target minimum rule",esbuild supplement EV-ESB-014,CO-ESB-02;CO-ESB-05;CO-ESB-16,source-exact-only,Release notes locate holes; execution pins them
EC-ESB-CLI-EXEC,esbuild,@esbuild/linux-x64@0.28.2 native binary digest e1698a3d...,linux-x64,n/a,--version and --help executions,recorded-execution,RECORDED-EXECUTION,Binary self-reports 0.28.2 and full flag surface,esbuild supplement EV-ESB-015/016,CO-ESB-15..CO-ESB-18,exact-coordinate-only,Only executions performed in that pass
EC-ESB-RECEIPT,esbuild,esbuild 0.28.1 and 0.28.2 exact; receipt source 9b0d2f5,ubuntu-24.04,n/a,context/rebuild/rebuild/cancel/dispose sequence,historical-execution,EXACT-RECEIPT,One linear context lifecycle executed; afterCloseRejected asserted for Rolldown but NOT esbuild,esbuild supplement EV-ESB-021..023 (run 31971767617),CO-ESB-11,exact-coordinate-only,No race schedule; no direct-write/watch/serve/plugin execution at any coordinate
EC-SEA-DOC,node-sea,Node v26.7.0 tag @ b4f23d3619c98bed09af93a21192f6080197a8c6 + versioned v24.19.0/v22.23.2 docs,source-inspection,PE/Mach-O/ELF targets,single-executable-applications.md full read,research,UPSTREAM-DIRECT,"Direct workflow, config, assets, snapshot/cache, execArgv, runtime APIs, loader behavior, legacy procedure, CI platform note",node-sea supplement evidence set @ 0274c35,CO-SEA-01..CO-SEA-03;RC-SEA-01..05,source-exact-only,Maintained v24/v22 lines lack direct build and ESM
EC-SEA-SRC,node-sea,Node v26.7.0 src/node_sea_bin.cc + src/node_sea.cc,source-inspection,ELF/Mach-O/PE,BuildSingleExecutable/Inject*/MarkSentinel control flow,research,UPSTREAM-DIRECT,In-core blob generation + LIEF injection + fuse flip + internal Mach-O signature removal,node-sea supplement evidence set,CO-SEA-01;RC-SEA-04,source-exact-only,Source presence of LIEF does not prove every same-version binary has it
EC-SEA-COMMITS,node-sea,Node upstream commit ledger (v19.7/v18.16 initial; v20.0.0 blob; v20.6.0 snapshot+CJS cache; v21.7/v20.12 assets+runtime APIs; v24.7/v22.20 execArgv; v24.8/v22.20 getAssetKeys; v25.5 direct; v25.7 argv0 fix + ESM; v25.9 ESM cache),source-inspection,n/a,availability boundaries,research,UPSTREAM-DIRECT,Exact version/commit boundaries for every mode and capability,node-sea supplement availability ledger,CO-SEA-01..CO-SEA-03;RC-SEA-01..05,version-gates-not-ranges,Availability predicate is never version-only
EC-ROL-SRC,rolldown,Rolldown v1.2.4 @ 483c64833c0fb0d1b75f1339accf781c0a09b335 (package metadata + TS surface + native loader + CLI/config + plugin model),source-inspection,n/a,pinned declarations/source/package inspection,research,UPSTREAM-DIRECT,"22-row surface; relational package/native identity; per-call output options; watch events; experimental annotations",rolldown supplement E-ROL-* @ 6eedca3,CO-ROL-01..CO-ROL-18;CU-ROL-01,source-exact-only,No unexecuted concurrency/cancellation/cleanup/cross-host proof
