claim_id,source_row,claim,classification,semantic_key,lane,lifecycle,resource_result,output_publication,host_applicability,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_ids,limitation
CLM-001,E01,"esbuild build with write:false returns bundled bytes as a caller-owned OutputFile array and publishes nothing.",operation,esbuild / build-memory / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,No execution of this mode was performed in this pass.
CLM-002,E01,"esbuild build with write:true and a destination writes provider-direct durable files and returns no outputFiles.",operation,esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value; provider-direct-durable},in-process-api,one-shot,caller-owned-value,provider-direct-durable,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-014,Nothing upstream states the file-system state after interruption mid-write.
CLM-003,E02,"esbuild transform converts one source unit to code plus map and publishes nothing.",operation,esbuild / transform / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Not executed in this pass.
CLM-004,E10,"analyzeMetafile is a distinct operation that renders a metafile the caller already holds into esbuild's own report text.",operation,esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Not executed in this pass.
CLM-005,none (missing from the imported inventory),"formatMessages is a public host operation that renders PartialMessage values with esbuild's own terminal formatter.",operation,esbuild / format-messages / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12; discovered from the tagged declarations in this pass.
CLM-006,none (missing from the imported inventory),"buildSync with write:false is a distinct blocking operation that refuses plugins and does not use the shared long-lived child.",operation,esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node only,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12.
CLM-007,none (missing from the imported inventory),"buildSync with write:true is a distinct blocking operation with provider-direct-durable publication and no interruption point.",operation,esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value; provider-direct-durable},in-process-api,one-shot,caller-owned-value,provider-direct-durable,node only,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12.
CLM-008,none (missing from the imported inventory),"transformSync is a distinct blocking operation.",operation,esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node only,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12.
CLM-009,none (missing from the imported inventory),"analyzeMetafileSync is a distinct blocking operation.",operation,esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node only,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12.
CLM-010,none (missing from the imported inventory),"formatMessagesSync is a distinct blocking operation.",operation,esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value; none},in-process-api,one-shot,caller-owned-value,none,node only,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12.
