decision_id,subject,decision,rejected_alternative,governing_evidence,falsifier,affected_ids
MSD-01,Bun command compile wrapper vs raw command,"Merge Bun supplement OP-BUN-012 (raw provider-direct --compile) and OP-BUN-013 (effect-build staged atomic wrapper) into one canonical identity CO-BUN-12 whose provider_publication is provider-direct-durable and whose published_contract is atomic-published-durable (identity_owner = product-wrapper-over-provider-command). The raw CLI invocation is the implementation interior of the released compileExecutable, not a second public operation.","Keep two operations differing only in publication (Bun supplement's choice). Rejected because nothing in AGENTS.md or the decision record proposes exposing a raw non-staged compile alongside the staged one; two public operations differing only in wrapper staging policy would make the publication field encode product packaging rather than provider semantics.",AGENTS.md compileExecutable retention; RECONCILIATION worked example (bun compile-executable atomic-published); Bun supplement OP-BUN-012/013 + E-EB-001,A maintainer decision to expose both a raw passthrough compile and a staged compile as separate public exports would re-split this row.,CO-BUN-12;OP-BUN-012;OP-BUN-013
MSD-02,Deno compile publication law,"Correct the Deno supplement's output_publication for compile-executable and compile-watch from atomic-published-durable to provider-direct-durable at the provider-native level. No atomic claim for the final executable write exists in the supplement's own atomic claims (DENO-CL-047 describes appending and target-specific steps before publication; the only atomicity claim, DENO-CL-041, concerns the denort cache archive). The released wrapper's atomic publication is recorded in published_contract instead.","Adopt the supplement's atomic-published label for the native operation. Rejected as an evidence-to-guarantee conversion: documentation of a cache-side atomic write was silently generalized to the output executable, and compile-watch's repeated replacement has zero atomicity evidence.",DENO-CL-041;DENO-CL-047;lifecycle lane Law D1/D2;RECONCILIATION-GATES lifecycle-specific publication,An execution probe demonstrating that deno compile itself stages and atomically renames its final executable (and does so under watch) would restore the provider-native atomic label.,CO-DEN-10;CO-DEN-11;DENO-OP-010;DENO-OP-011
MSD-03,Node SEA identity ownership,"Carry the three Node SEA operations as product-wrapper identities (published_contract atomic-published-durable for the two executable producers) with provider_publication recorded as provider-direct-durable, because Node's --build-sea and the legacy injector natively write their configured outputs directly; the staging/repair/validation/rename sequence is wrapper-owned.","Record six rows (three provider-native + three wrapper). Rejected: the wrapper sequence has no independent provider semantics; sub-operations carry it. Also rejected: recording only the wrapper identity without provider_publication, which would hide that the native command writes directly (the very fact that forces output redirection into staging).",Node SEA supplement sections 5/12 and AC-MOD-001;lifecycle lane durable-file state machine;preflight-and-mutation-order,None needed; the split field records both facts. If Node ever gains a native staged/atomic output mode the provider_publication changes with evidence.,CO-SEA-01;CO-SEA-02;CO-SEA-03
MSD-04,Rolldown lane,"Assign lane in-process-api to all Rolldown JavaScript-API operations, correcting the supplement's host-api. Rolldown is an installed npm library (JS package + native binding), not a host runtime API; host-api is reserved for Bun.build/Deno.bundle-style runtime-owned APIs. The lane definition's esbuild-specific wording (own native child) is generalized to installed-library API regardless of child-process vs in-process native binding.",Adopt host-api as the supplement wrote. Rejected: it erases the installed-library compatibility model (package/native coherence) that distinguishes esbuild/Rolldown from Bun/Deno and that D9/R3 must own.,RECONCILIATION section 1 lane table;Rolldown supplement package-identity section;esbuild supplement section 4,A future Rolldown embedded inside a host runtime as a built-in API would earn host-api rows at that identity.,CO-ROL-01..CO-ROL-18;CU-ROL-01
MSD-05,Deno declarations merged row,"Resolve D06 (API/command merged row) to the selected-command lane only: at v2.9.5 declaration emission is implemented in the CLI bundle path (emit_bundle_declarations); no host-api declaration mode is evidenced. Promote bundle --declaration to its own operation CO-DEN-06 because it adds graph/type-check work, a new failure class, and a distinct durable declaration topology; keep --check a sub-operation because it only gates emission.","(a) Keep declarations as a modifier of bundle-direct-write: rejected because failure and result laws change. (b) Invent a host-api declarations operation: rejected as unevidenced.",DENO-CL-017;DENO-CL-018;DENO-CL-019;RECONCILIATION section 1 mode-promotion rule,"If probes show declaration mode leaves the bundle failure law unchanged and merely adds outputs, demote to modifier; if a host-api declaration option appears in a tagged Deno version, add that identity.",CO-DEN-06;D06;DENO-OP-006
MSD-06,Rolldown handle methods vs esbuild handle methods,"Demote Rolldown close-reusable-build/close-watch-session/close-dev-engine from operations to release sub-operations (a release is the lifecycle boundary of its owner, not an operation). Promote generate and write to handle-bound operations CO-ROL-02/03 because their publication law is selected per call. esbuild's rebuild/watch/serve/cancel/dispose remain sub-operations because their publication law is fixed by the context's captured write mode. Grouping law GL-2: a handle method is promoted to an operation if and only if it carries a semantic-identity fact (publication or ownership law) not determined by its owning handle.","(a) Follow Rolldown supplement (methods and closes all operations): rejected — close has no request/result/failure law of its own and scoped-handle is not a lane. (b) Mirror esbuild exactly (split the Rolldown context by write mode): rejected — Rolldown does not capture output options at acquisition, so a context-direct-write acquisition identity would be fictional.",RECONCILIATION section 1 (scoped handle is a lifecycle not a lane; Rolldown generate/write must be split by publication ownership);esbuild LAW-ESB-04;Rolldown E-ROL-HANDLE,"If a Rolldown version captures output options at acquisition, re-merge to context-memory/context-direct-write acquisitions; if esbuild ever lets rebuild choose write mode per call, split esbuild the same way.",CO-ROL-01;CO-ROL-02;CO-ROL-03;CO-ROL-06;CO-ROL-07;OP-ROL-004;OP-ROL-009;OP-ROL-019;CO-ESB-11;CO-ESB-12
MSD-07,Bun compile memory-mode candidate,"Drop RECONCILIATION section 3's bun/compile-executable-memory and treat host-api compile as a single provider-direct-durable identity CO-BUN-11: tagged declarations give compile an implicit-or-explicit outfile and receipts observed durable executables; no memory result mode is evidenced.",Keep the crosswalk's candidate memory/direct-write compile splits. Rejected as speculative identities without source or receipt support.,Bun supplement OP-BUN-011 request modes;E-BUN-015;E-BUN-021/022,An output-topology probe showing Bun.build compile can return the executable purely in memory would create the memory identity.,CO-BUN-11;B09
MSD-08,Rolldown vocabulary normalization,"Map the Rolldown supplement's invented vocabulary into the closed sets: scoped-acquisition/reusable/release/scoped-session/scoped-process-session/one-shot-with-cleanup collapse into scoped-context / scoped-process / one-shot with sub-operation releases; scoped-handle (as lane) is retired; no-public-value becomes caller-owned-value or none per actual result; owned-process-session becomes long-lived-handle; mixed-configured publication is an illegal state, so DevEngine is held as candidate-unresolved CU-ROL-01 until split by publication mode.",Extend the closed vocabularies with the supplement's terms. Rejected: each invented term either maps losslessly into the closed set or (mixed-configured) names an unresolved mode split that the key is designed to force explicit.,RECONCILIATION section 1 closed lifecycle/ownership vocabulary;Rolldown PROVIDER-OPERATIONS.csv,"If probing shows an in-process session semantics genuinely distinct from scoped-context (e.g., provider-imposed lifetime not owned by any scope), extend the lifecycle vocabulary explicitly at that time.",CO-ROL-01..CO-ROL-18;CU-ROL-01
MSD-09,Reusable configured objects without release protocols,"Classify Bun.Transpiler construction and Rolldown ResolverFactory construction as one-shot operations returning caller-owned-value reusable configured objects, not long-lived-handle: long-lived-handle implies a release law (scope closure terminates/disposes) and neither object declares any release member. Constraint adopted: long-lived-handle requires a scoped-context or scoped-process lifecycle.","Bun supplement's {long-lived-handle, none} with one-shot lifecycle. Rejected as an illegal pairing: a handle with no release law is indistinguishable from a caller-owned value, and admitting it would let the ownership field promise a lifecycle that does not exist.",Bun OP-BUN-001 ownership_contract (no dispose declared);lifecycle taxonomy (scoped handle requires Scope-owned release);gates ownership vocabulary,A tagged version adding dispose/close to either object reclassifies it to scoped-context acquisition.,CO-BUN-01;CO-ROL-14;OP-BUN-001;OP-ROL-016
MSD-10,Synchronous provider calls across providers,"Apply one cross-provider law: a blocking synchronous provider call may never be wrapped with an interruption promise. esbuild's five *Sync rejections are upheld (complete async twins, lost plugin authority, 16MiB ceiling, two absent hosts). Bun transpile-sync is deferred (async twin exists; only an honest non-interruptible wrapper would be truthful). Bun scan/scan-imports remain candidates because no async twin exists and rejection would erase the capability; they carry the same honest sync law.","(a) Blanket rejection of every sync operation: rejected because it erases Bun scan capabilities that have no async twin. (b) Blanket acceptance: rejected because esbuild's sync variants additionally lose plugins and hosts and have complete async replacements.",esbuild ESB-OP-06..10 rationale;Bun OP-BUN-003/004/005 contracts;AGENTS.md interruption law,"If Bun adds async scan twins, transpile-sync/scan/scan-imports rejections align with esbuild's rule; if evidence shows Bun sync calls block unacceptably on realistic inputs, demote to reject.",CO-BUN-03;CO-BUN-04;CO-BUN-05;CO-ESB-06..CO-ESB-10
