"operation_id","semantic_identity","evidence_ref","evidence_source","evidence_row_key","evidence_status","support_effect"
"CAN-BUN-001","bun / create-transpiler / host-api / one-shot / {caller-owned-value, none}","E-BUN-001","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-001","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-001","bun / create-transpiler / host-api / one-shot / {caller-owned-value, none}","E-BUN-002","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-002","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-002","bun / transpile-source-async / host-api / one-shot / {caller-owned-value, none}","E-BUN-003","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-003","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-003","bun / transpile-source-sync / host-api / one-shot / {caller-owned-value, none}","E-BUN-004","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-004","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-004","bun / scan-source / host-api / one-shot / {caller-owned-value, none}","E-BUN-005","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-005","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-005","bun / scan-imports-fast / host-api / one-shot / {caller-owned-value, none}","E-BUN-006","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-006","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-006","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","E-BUN-007","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-007","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-006","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","E-BUN-008","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-008","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-006","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","E-BUN-009","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-009","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-006","bun / build-memory / host-api / one-shot / {caller-owned-value, none}","E-BUN-010","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-010","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-007","bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-011","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-011","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
