evidence_id,source_kind,authority,title,version_or_ref,commit_sha,repository,path,coordinate,url,current_or_historical,supports,limitation,accessed_utc
E-CORPUS-GOV,repository-document,effect-build corpus,Corpus governance,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/GOVERNANCE.md,entire document; authority/evidence/status separation,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/GOVERNANCE.md,current-at-base,"Evidence, proposal, implementation, and certification are separate judgments.","Repository policy, not upstream Node behavior.",2026-08-19T14:04:42Z
E-CORPUS-DECISIONS,repository-document,effect-build corpus,Decision record,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/DECISION-RECORD.md,D9 compatibility; D12 ownership; D14 evidence; signing/distribution boundaries,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/DECISION-RECORD.md,current-at-base,"Private compatibility, ownership, publication, and evidence decisions.",Architecture decision record; execution proof still separate.,2026-08-19T14:04:42Z
E-CORPUS-RECON,repository-document,effect-build corpus,Reconciliation,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/RECONCILIATION.md,semantic key; evidence-coordinate model; disposition axes,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/RECONCILIATION.md,current-at-base,Operation semantic key and separation from evidence coordinates.,"Architecture model, not a Node support matrix.",2026-08-19T14:04:42Z
E-CORPUS-GATES,repository-document,effect-build corpus,Reconciliation gates,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/RECONCILIATION-GATES.md,R1/R2 classification and review gates,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/RECONCILIATION-GATES.md,current-at-base,Atomic classification and publication gates.,Process requirements only.,2026-08-19T14:04:42Z
E-CORPUS-PROGRAM,repository-document,effect-build corpus,Research program,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/RESEARCH-PROGRAM.md,R1-R5 and R9 sections,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/RESEARCH-PROGRAM.md,current-at-base,R2 Node SEA scope and R3/R4/R5/R9 handoffs.,"Research assignment, not implementation or certification.",2026-08-19T14:04:42Z
E-CORPUS-DOSSIER,repository-document,effect-build corpus,Provider-native breadth Node SEA dossier,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/lanes/provider-native-breadth/node-sea-dossier.md,complete dossier,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/lanes/provider-native-breadth/node-sea-dossier.md,historical-proposal-at-base,Prior Node SEA inventory and proposed breadth.,Contains rows that require R1 reclassification and current-source correction.,2026-08-19T14:04:42Z
E-CORPUS-ADMISS,repository-document,effect-build corpus,Node SEA admissibility,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/lanes/node-canon/node-sea-admissibility.md,"admissibility, target, repair, publication sections",https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/lanes/node-canon/node-sea-admissibility.md,current-at-base,"Candidate correctness, validation, and publication constraints.",Canonical proposal; runtime cells require later proof.,2026-08-19T14:04:42Z
E-CORPUS-DOMAIN,repository-document,effect-build corpus,Node main domain model,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/lanes/node-canon/node-main-domain-model.md,NodeMainProgram and assembler participants,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/lanes/node-canon/node-main-domain-model.md,current-at-base,Sealed-main domain and participant identities.,"Portable-role model, not provider-native runtime proof.",2026-08-19T14:04:42Z
E-CORPUS-LEGAL,repository-document,effect-build corpus,Node legal and illegal states,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/lanes/node-canon/legal-and-illegal-states.md,complete legal/illegal-state catalog,https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/lanes/node-canon/legal-and-illegal-states.md,current-at-base,Invalid-state and publication analysis.,Needs provider-specific current-source reconciliation.,2026-08-19T14:04:42Z
E-CORPUS-IMPORTS,repository-document,effect-build corpus,Node import and asset classification,c4cefd0acc2b7854cc25513967af1a8d415ccab0,c4cefd0acc2b7854cc25513967af1a8d415ccab0,mannyc2/effect-build,research/post-0.3/corpus/lanes/node-canon/import-and-asset-classification.md,"imports, externals, dynamic loading, assets",https://github.com/mannyc2/effect-build/blob/c4cefd0acc2b7854cc25513967af1a8d415ccab0/research/post-0.3/corpus/lanes/node-canon/import-and-asset-classification.md,current-at-base,Portable sealed-main closure and asset classification.,Provider-native filesystem escape remains separately visible.,2026-08-19T14:04:42Z
