operation_id,provider,operation,lane,lifecycle,resource_result,output_publication,semantic_identity,public_surface,request_modes,result_contract,failure_contract,ownership_contract,cancellation_contract,retained_result_contract,publication_contract,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_coordinate_refs,source_ids,recommendation,recommendation_basis
OP-BUN-001,Bun,create-transpiler,host-api,one-shot,long-lived-handle,none,"Bun / create-transpiler / host-api / one-shot / {long-lived-handle, none}",new Bun.Transpiler(options),captured loader; target browser|bun|node; define; tsconfig; macro map; export rewrite; trimming; minification/inlining,"Reusable JavaScript object exposing transform, transformSync, scan, and scanImports.",Construction throws provider-native option/initialization errors; diagnostic stability is not certified.,Caller retains the JavaScript object; Bun declares no dispose method.,No cancellation concept applies to construction.,GC timing and release of native backing state are undocumented and untested.,No output publication.,upstream-declaration+documentation,canonical-operation,ship,source-exact-v1.3.14,upstream-only,source-only-not-certified,E-BUN-001;E-BUN-002,BUN-DTS;BUN-TRANS-DOC;BUN-JSTRANS-SRC,ship,Preserves reusable captured configuration without pretending the object is an explicitly scoped native resource.
OP-BUN-002,Bun,transpile-source-async,host-api,one-shot,caller-owned-value,none,"Bun / transpile-source-async / host-api / one-shot / {caller-owned-value, none}","Bun.Transpiler.transform(code, loader?)",string|Uint8Array; optional loader override; captured Transpiler options,Promise<string> containing transformed JavaScript; modules are not resolved or executed.,Promise rejects or throws provider-native parse/configuration errors.,Returned string is caller-owned; provider work is documented on Bun's worker threadpool.,No AbortSignal or supported cancellation handle; Effect interruption cannot mean provider cancellation.,Ordinary JavaScript value retention; macro-created runtime state is not characterized.,No output publication.,upstream-declaration+documentation,canonical-operation,ship,source-exact-v1.3.14,upstream-only,source-only-not-certified,E-BUN-003,BUN-DTS;BUN-TRANS-DOC;BUN-JSTRANS-SRC,ship,Async scheduling and interruption semantics differ from transformSync.
OP-BUN-003,Bun,transpile-source-sync,host-api,one-shot,caller-owned-value,none,"Bun / transpile-source-sync / host-api / one-shot / {caller-owned-value, none}","Bun.Transpiler.transformSync(code, loader?)",string|Uint8Array; optional loader override; captured Transpiler options,string containing transformed JavaScript; modules are not resolved or executed.,Throws provider-native parse/configuration errors synchronously.,Returned string is caller-owned; work runs on the calling thread.,Synchronous execution is not cooperatively interruptible through Effect while running.,Ordinary JavaScript value retention; macro side effects remain provider authority.,No output publication.,upstream-declaration+documentation,canonical-operation,ship,source-exact-v1.3.14,upstream-only,source-only-not-certified,E-BUN-004,BUN-DTS;BUN-TRANS-DOC;BUN-JSTRANS-SRC,ship,A truthful provider primitive that must not be hidden behind the async identity.
OP-BUN-004,Bun,scan-source,host-api,one-shot,caller-owned-value,none,"Bun / scan-source / host-api / one-shot / {caller-owned-value, none}",Bun.Transpiler.scan(code),source text under captured loader/options,"Object with exports:string[] and imports:{path,kind}[]; type-only imports/exports are ignored.",Throws provider-native parse/configuration errors.,Returned arrays and records are caller-owned JavaScript values.,No cancellation handle is declared; bounded latency is not documented.,Ordinary JavaScript value retention; no filesystem graph is retained.,No output publication.,upstream-declaration+documentation,canonical-operation,ship,source-exact-v1.3.14,upstream-only,source-only-not-certified,E-BUN-005,BUN-DTS;BUN-TRANS-DOC,ship,Scanning is a first-class native operation rather than a reduced bundle result.
OP-BUN-005,Bun,scan-imports-fast,host-api,one-shot,caller-owned-value,none,"Bun / scan-imports-fast / host-api / one-shot / {caller-owned-value, none}",Bun.Transpiler.scanImports(code),source text under captured loader/options,"Array of {path,kind}; documented as faster but marginally less accurate than scan.",Throws provider-native parse/configuration errors.,Returned array and records are caller-owned JavaScript values.,No cancellation handle is declared; bounded latency is not documented.,Ordinary JavaScript value retention; no filesystem graph is retained.,No output publication.,upstream-declaration+documentation,canonical-operation,ship,source-exact-v1.3.14,upstream-only,source-only-not-certified,E-BUN-006,BUN-DTS;BUN-TRANS-DOC,ship,Its explicit performance/accuracy tradeoff makes it a distinct operation.
OP-BUN-006,Bun,build,host-api,one-shot,caller-owned-value,none,"Bun / build / host-api / one-shot / {caller-owned-value, none}",Bun.build(config) without outdir and without a direct-write compile mode,disk|virtual|mixed graph; browser|bun|node; JS/CSS/HTML; plugins/loaders; externals; chunks; assets; maps; metafile; bytecode sidecar where valid,"Promise<BuildOutput> with outputs:BuildArtifact[], success, logs, and optional metafile; BuildArtifact extends Blob.",throw:true rejects with AggregateError; throw:false resolves success:false. Partial-result behavior is untested.,BuildOutput/BuildArtifact wrappers are caller-retained; callbacks execute with host authority.,No AbortSignal/cancel method; Effect interruption can only stop waiting unless execution proves more.,"Artifact readability after delayed retention, GC, plugin teardown, or provider shutdown is unknown.",No Bun-directed durable publication; later writes are separate caller mutations.,upstream-declaration+documentation,canonical-operation,ship,source-exact-v1.3.14,upstream-only,source-only-not-certified,E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010,BUN-DTS;BUN-BUILD-DOC;BUN-PLUGIN-DOC;BUN-HTML-DOC;BUN-FULL-DOC;BUN-STANDALONE-DOC;BUN-BYTECODE-DOC;BUN-JSBUNDLER-SRC,ship,Raw native request/result types preserve Bun's graph and metadata without invented publication or cancellation guarantees.
OP-BUN-007,Bun,build,host-api,one-shot,caller-owned-value,provider-direct-durable,"Bun / build / host-api / one-shot / {caller-owned-value, provider-direct-durable}",Bun.build(config) with outdir or another documented direct-write build mode,same graph/configuration breadth as OP-BUN-006 with explicit provider output destination,"Promise<BuildOutput>; output paths identify provider-written HTML, JS, CSS, chunks, assets, maps, bytecode, or metadata by mode.","Default throw behavior; atomicity, rollback, pre-existing-output interaction, and partial failure topology are unknown.",Returned metadata is caller-retained; files are durable provider writes outside an Effect scope.,No supported cancellation handle; interruption/remnant behavior is unknown.,Artifacts were immediately readable in exact receipts; long retention is untested.,Provider-direct durable publication; never call it atomic replacement.,upstream-declaration+documentation+recorded-execution,canonical-operation,ship,source-exact-v1.3.14+observed-points-1.3.9-and-1.3.14,upstream-only,receipt-bounded-not-certified,E-BUN-011;E-BUN-021;E-BUN-022,BUN-DTS;BUN-BUILD-DOC;BUN-HTML-DOC;BUN-JSBUNDLER-SRC;EB-RECEIPTS,ship,Direct durable publication changes failure and ownership obligations and therefore semantic identity.
OP-BUN-008,Bun,build,selected-command,one-shot,caller-owned-value,none,"Bun / build / selected-command / one-shot / {caller-owned-value, none}",selected bun build command with stdout transport and no durable output destination,selected executable; argv/cwd/env; serializable CLI options only; no callback/virtual-file parity,Exit status and raw stdout/stderr; tagged docs demonstrate finite stdout bundle transport for a single-output case.,Non-zero exit and raw human diagnostics; no stable machine diagnostic protocol.,Command scope owns process; collected bytes can be caller values after exit.,Child signaling exists; exact signal-to-provider behavior is untested.,Captured bytes are stable after collection; provider BuildArtifact objects are unavailable.,No provider output publication in stdout mode.,upstream-documentation,canonical-operation,ship,source-exact-v1.3.14,not-implemented,source-only-not-certified,E-BUN-012,BUN-BUILD-DOC;BUN-MACRO-DOC,ship,Truthful raw command primitive that must not be advertised as host-API parity.
OP-BUN-009,Bun,build,selected-command,one-shot,caller-owned-value,provider-direct-durable,"Bun / build / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected bun build command with outfile/outdir,selected executable; argv/cwd/env; serializable graph options; browser|bun|node,"Exit status, raw stdout/stderr, and provider-written output topology; optional CLI metafile.","Non-zero exit and human diagnostics; partial writes, replacement, and remnants are unknown.",Command-scoped process; written files remain durable after exit.,Child signaling exists; interruption-to-cleanup behavior is untested.,Captured bytes persist; outputs are durable files.,Provider-direct durable publication; no atomicity claim.,upstream-documentation+recorded-execution,canonical-operation,ship,observed-points-1.3.9-and-1.3.14,partially-implemented,receipt-bounded-not-certified,E-BUN-013;E-BUN-023;E-BUN-024;E-BUN-025,BUN-BUILD-DOC;EB-RECEIPTS;EB-IMPL,ship,Retains CLI/project/executable authority and cannot be collapsed into Bun.build.
OP-BUN-010,Bun,build-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,"Bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",selected bun build --watch command,serializable CLI build options plus --watch; disk graph; raw process environment,Owned child handle with byte streams and repeated provider writes; no typed readiness/rebuild protocol.,Raw diagnostics and process exit/signal; per-rebuild recovery is not a machine contract.,Effect scope owns the child; Bun outputs remain durable absent explicit cleanup.,"Wrapper may signal the child; subtree termination, in-flight cancellation, and cleanup are unknown.",Live streams are scope-borrowed; copied observations may be retained; files are durable.,Repeated provider-direct durable publication with unknown replacement/remnant semantics.,upstream-documentation+recorded-execution,canonical-operation,ship,observed-point-1.3.9+source-exact-v1.3.14,not-implemented,receipt-bounded-not-certified,E-BUN-014;E-BUN-026,BUN-BUILD-DOC;EB-RECEIPTS;EB-LIFECYCLE,ship,Expose an opaque provider-named scoped process with raw streams; reject invented typed events.
