"source_set","source_id","atom_id","provider","source_label","classification","canonical_operation_ids","evidence_coordinate_refs","freeze_recommendation","note"
"original-54","B02","B02.1","bun","virtual-file build","request-mode","CAN-BUN-006;CAN-BUN-007","E-BUN-007;E-BUN-008","ship","virtual and mixed graphs remain native request authority"
"original-54","B06","B06.1","bun","loaders","modifier","CAN-BUN-006;CAN-BUN-007;CAN-BUN-008;CAN-BUN-009","E-BUN-009","ship",""
"original-54","B06","B06.2","bun","per-build plugin callbacks","sub-operation","CAN-BUN-006;CAN-BUN-007","E-BUN-010","ship",""
"original-54","B07","B07.1","bun","HTML graph","request-mode","CAN-BUN-006;CAN-BUN-007;CAN-BUN-009","E-BUN-009;E-BUN-013","ship",""
"original-54","B08","B08.1","bun","splitting/assets/maps","modifier","CAN-BUN-006;CAN-BUN-007;CAN-BUN-008;CAN-BUN-009","E-BUN-009;E-BUN-013","ship",""
"original-54","B08","B08.2","bun","chunks/metafile/native artifacts","result-field","CAN-BUN-006;CAN-BUN-007;CAN-BUN-009","E-BUN-008;E-BUN-011","ship",""
"original-54","B10","B10.1","bun","full-stack HTML executable","request-mode","CAN-BUN-011;CAN-BUN-012","E-BUN-015;E-BUN-017","ship","provider-native compile request mode"
"original-54","D06","D06.1","deno","bundle --check","sub-operation","CAN-DENO-003;CAN-DENO-004;CAN-DENO-005;CAN-DENO-006","DENO-EV-002","defer",""
"original-54","D08","D08.1","deno","denort runtime acquisition","sub-operation","CAN-DENO-010;CAN-DENO-011","DENO-EV-004;DENO-EV-013","defer","no hidden fallback"
"original-54","D09","D09.1","deno","compiled runtime Deno.bundle","runtime-capability","","DENO-EV-011","reject","unavailable at current exact source and historical coordinate"
"original-54","D10","D10.1","deno","bundle permission authority","relation","CAN-DENO-001;CAN-DENO-002","DENO-EV-001;DENO-EV-012","defer",""
"original-54","E04","E04.1","esbuild","context.rebuild","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-003;EV-ESB-021","ship",""
"original-54","E05","E05.1","esbuild","context.watch","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E06","E06.1","esbuild","context.serve","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E07","E07.1","esbuild","context.cancel","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E08","E08.1","esbuild","context.dispose","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E09","E09.1","esbuild","loaders and plugin request authority","modifier","CAN-ESB-001;CAN-ESB-002;CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E09","E09.2","esbuild","plugin hooks","sub-operation","CAN-ESB-001;CAN-ESB-002;CAN-ESB-011;CAN-ESB-012","EV-ESB-003;EV-ESB-009","ship",""
"original-54","E10","E10.1","esbuild","metafile","result-field","CAN-ESB-001;CAN-ESB-002","EV-ESB-002","ship",""
"original-54","E12","E12.1","esbuild","shared native child identity","runtime-capability","CAN-ESB-001;CAN-ESB-002;CAN-ESB-003;CAN-ESB-004;CAN-ESB-005;CAN-ESB-011;CAN-ESB-012","EV-ESB-003;EV-ESB-013","defer",""
"original-54","E12","E12.2","esbuild","process-global child ownership","architecture-law","CAN-ESB-013;CAN-ESB-014","EV-ESB-003;EV-ESB-013","reject",""
"original-54","S02","S02.1","node-sea","CommonJS main","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-24-DOC;E-NODE-22-DOC;E-NODE-26-DOC-CONFIG","ship",""
"original-54","S03","S03.1","node-sea","ESM main","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-ESM;E-NODE-ESM-CACHE","defer",""
"original-54","S04","S04.1","node-sea","asset embedding","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-ASSETS;E-NODE-26-DOC-CONFIG","ship",""
"original-54","S04","S04.2","node-sea","node:sea asset lookup APIs","runtime-capability","","E-NODE-ASSETS;E-NODE-ASSET-KEYS","defer","copied values and raw borrowed view remain distinct"
"original-54","S05","S05.1","node-sea","code cache","modifier","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-CACHE;E-NODE-ESM-CACHE","defer",""
"original-54","S06","S06.1","node-sea","startup snapshot","modifier","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-SNAPSHOT","defer",""
"original-54","S07","S07.1","node-sea","execArgv policy","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-ARGV;E-NODE-ARGVEXT","defer",""
"original-54","S09","S09.1","node-sea","candidate correctness repair","post-production-mutation","CAN-NODE-001;CAN-NODE-003","E-CORPUS-APPLE","ship","inside assembler; no distribution trust claim"
"original-54","S09","S09.2","apple","distribution signing and verification","external-platform-primitive","","E-CORPUS-APPLE","defer","R9 family; not Node SEA"
"original-54","S10","S10.1","node-sea","builder/base identity","relation","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-26-DOC-CONFIG;E-CORPUS-ADMISS","defer","equality wherever participants are separate"
"original-54","F01","F01.1","effect","ChildProcess command","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F02","F02.1","effect","Scope","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F03","F03.1","effect","Stream/Sink","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F04","F04.1","effect","FileSystem/Path","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F05","F05.1","effect","Context/Layer","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F06","F06.1","effect","Cause/interruption","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F07","F07.1","effect","logging/tracing","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","R01","R01.1","cross-provider","Node sealed-main producer role","portable-role","","","defer","R5 ship-if-pass; not a provider operation"
"original-54","R02","R02.1","cross-provider","BrowserModulePayload","portable-role","","","defer","R5 ship-if-pass; narrower successor to imported graph application"
"original-54","R03","R03.1","cross-provider","RuntimeExecutable","portable-role","","","reject","runtime-neutral executable erases provider/runtime identity"
"original-54","R04","R04.1","cross-provider","CLI-derived TypedWatchEvents","portable-role","","","reject","current text-derived role falsified; future product-owned protocol is distinct"
"original-54","R05","R05.1","cross-provider","operation-owned surface boundary","architecture-law","","","ship","adopted canonicalization law"
"r2-rolldown","OP-ROL-004","OP-ROL-004.release","rolldown","RolldownBuild.close","sub-operation","CAN-ROL-001","E-ROL-HANDLE;E-EB-RECEIPT;E-EB-PROBE;E-EB-LIFE","defer","release is the lifecycle boundary of the reusable-build owner"
"r2-rolldown","OP-ROL-009","OP-ROL-009.release","rolldown","RolldownWatcher.close","sub-operation","CAN-ROL-007;CAN-ROL-008","E-ROL-WATCH-IMPL;E-ROL-WATCH-EVENT;E-EB-LIFE","defer","release is the lifecycle boundary of both watcher publication modes"
