evidence_id,scope,host,phase,class,artifact,coordinate,establishes,limitation
E-ROL-TAG,up@1.2.4,n/a,release-CI,upstream,Rolldown v1.2.4 commit,up:@commit,immutable source identity for this pass,support at other commits or versions
E-ROL-PKG,up@1.2.4,node,installation-gr…,upstream,packages/rolldown/package.j…,up:packages/rolldown/package.json,"exports, bin, engines and native optional package…",successful installation or runtime…
E-ROL-INDEX,up@1.2.4,node,release-CI,upstream,packages/rolldown/src/index…,up:packages/rolldown/src/index.ts,root public export surface,behavior of exported members
E-ROL-ACQUIRE,up@1.2.4,node,operation-prefl…,upstream,api/rolldown/index.ts,up:packages/rolldown/src/api/rolldown/index.ts,reusable acquisition entry and lazy holder…,"cancellation, races or cleanup outcomes"
E-ROL-HANDLE,up@1.2.4,node,operation-prefl…,upstream,api/rolldown/rolldown-build…,up:packages/rolldown/src/api/rolldown/rolldown-build.ts,"generate, write, close and async-dispose shape",runtime concurrency and interruption…
E-ROL-BUILD,up@1.2.4,node,operation-prefl…,upstream,api/build.ts,up:packages/rolldown/src/api/build.ts,one-shot wrapper mode selection and finally-close…,provider cleanup success under forced…
E-ROL-INPUT,up@1.2.4,node,operation-prefl…,upstream,types/input-options.ts,up:packages/rolldown/src/options/input-options.ts,"input forms, plugins, external, platform and…",behavior of every modifier combination
E-ROL-OUTPUT-OPTIONS,up@1.2.4,node,operation-prefl…,upstream,types/output-options.ts,up:packages/rolldown/src/options/output-options.ts,"format, sourcemap, naming and write-affecting…",atomicity or failure remnants
E-ROL-OUTPUT-TYPES,up@1.2.4,node,operation-prefl…,upstream,types/output.ts,up:packages/rolldown/src/types/output.ts,"chunk, asset, map and metadata result fields",lifetime of native-backed buffers
E-ROL-OUTPUT-IMPL,up@1.2.4,node,operation-prefl…,upstream,output conversion…,up:packages/rolldown/src/utils/transform-to-rollup-output.ts,native-to-JS output conversion structure,behavior after explicit…
E-ROL-EXTMEM,up@1.2.4,node,launch-boundary,upstream,binding declarations,up:packages/rolldown/src/binding.d.cts,external-memory methods and keepData semantics,safe use after release without a probe
E-ROL-PLUGIN,up@1.2.4,node,operation-prefl…,upstream,plugin types,up:packages/rolldown/src/plugin/index.ts,plugin hook inventory and hook result shapes,ordering and cleanup under concurrency
E-ROL-PLUGIN-CONTEXT,up@1.2.4,node,operation-prefl…,upstream,plugin context,up:packages/rolldown/src/plugin/plugin-context.ts,"emitFile, getFileName, resolve and watch-file…",filesystem and publication side…
E-ROL-TRANSFORM-OPTIONS,up@1.2.4,node,operation-prefl…,upstream,transform options,up:packages/rolldown/src/types/transform-options.ts,"define, inject and transform modifiers",behavior at every syntax target
E-ROL-WATCH-API,up@1.2.4,node,operation-prefl…,upstream,watch API,up:packages/rolldown/src/api/watch/index.ts,watch acquisition and skipWrite mode,event timing or close races
E-ROL-WATCH-EVENT,up@1.2.4,node,operation-prefl…,upstream,watch event types,up:packages/rolldown/src/api/watch/watch-emitter.ts,event names and result-handle carriage,delivery guarantees or event loss
E-ROL-WATCH-IMPL,up@1.2.4,node,operation-prefl…,upstream,watcher implementation,up:packages/rolldown/src/api/watch/rolldown-watcher.ts,close structure and native watcher ownership,post-close calls and concurrent close…
E-ROL-CLI-BUNDLE,up@1.2.4,node,launch-boundary,upstream,CLI implementation,up:packages/rolldown/src/cli/index.ts,"CLI entry, config/entry dispatch and watch mode",machine-readable stdout contract
E-ROL-CLI-ARGS,up@1.2.4,node,launch-boundary,upstream,CLI argument definitions,up:packages/rolldown/src/cli/arguments/index.ts,documented argv names and modifiers,runtime acceptance of every combination
E-ROL-CONFIG,up@1.2.4,node,operation-prefl…,upstream,config loader,up:packages/rolldown/src/config/load-config.ts,config file loading and returned config shapes,security of arbitrary config execution
E-ROL-UTILS,up@1.2.4,node,release-CI,upstream,utils index,up:packages/rolldown/src/utils/index.ts,"parse, transform and minify export inventory",runtime behavior
E-ROL-TRANSFORM,up@1.2.4,node,operation-prefl…,upstream,transform utility,up:packages/rolldown/src/utils/transform.ts,transform request/result structure,Node-main compatibility or cancellation
E-ROL-PARSE,up@1.2.4,node,operation-prefl…,upstream,parse utility,up:packages/rolldown/src/utils/parse.ts,parse request/result structure,AST stability across versions
E-ROL-PARSE-AST,up@1.2.4,node,operation-prefl…,upstream,parseAst utility,up:packages/rolldown/src/utils/parse-ast.ts,AST convenience exports,ESTree compatibility beyond declared…
