"package","root_surface_status","root_namespace_key","operation_subpath","root_export_form","member_exports","canonical_operation_ids","surface_selection_status","freeze_gate_status","empty_root_reason"
"effect-build-bun","selected-candidate-namespaces-not-frozen","Build","./Build","export * as Build from ""./Build""","build","CAN-BUN-006","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","BuildCommand","./BuildCommand","export * as BuildCommand from ""./BuildCommand""","build","CAN-BUN-008","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","BuildCommandToDirectory","./BuildCommandToDirectory","export * as BuildCommandToDirectory from ""./BuildCommandToDirectory""","buildToDirectory","CAN-BUN-009","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","BuildToDirectory","./BuildToDirectory","export * as BuildToDirectory from ""./BuildToDirectory""","buildToDirectory","CAN-BUN-007","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","BuildWatchCommand","./BuildWatchCommand","export * as BuildWatchCommand from ""./BuildWatchCommand""","watch","CAN-BUN-010","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","CompileExecutable","./CompileExecutable","export * as CompileExecutable from ""./CompileExecutable""","compileExecutable","CAN-BUN-012","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","CompileExecutableApi","./CompileExecutableApi","export * as CompileExecutableApi from ""./CompileExecutableApi""","compileExecutableDirect","CAN-BUN-011","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-bun","selected-candidate-namespaces-not-frozen","Transpiler","./Transpiler","export * as Transpiler from ""./Transpiler""","make;scan;scanImports;transform;transformSync","CAN-BUN-001;CAN-BUN-002;CAN-BUN-003;CAN-BUN-004;CAN-BUN-005","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-deno","selected-candidate-namespaces-not-frozen","CompileExecutable","./CompileExecutable","export * as CompileExecutable from ""./CompileExecutable""","compileExecutable","CAN-DENO-010","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-deno","selected-candidate-namespaces-not-frozen","TranspileCommand","./TranspileCommand","export * as TranspileCommand from ""./TranspileCommand""","transpile","CAN-DENO-007","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-deno","selected-candidate-namespaces-not-frozen","TranspileCommandToDirectory","./TranspileCommandToDirectory","export * as TranspileCommandToDirectory from ""./TranspileCommandToDirectory""","transpileToDirectory","CAN-DENO-008","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-deno","selected-candidate-namespaces-not-frozen","TranspileDeclarationsCommand","./TranspileDeclarationsCommand","export * as TranspileDeclarationsCommand from ""./TranspileDeclarationsCommand""","emitDeclarations","CAN-DENO-009","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
