operation_id,kind,provider,operation,lane,lifecycle,resource_result,provider_publication,published_contract,identity_owner,semantic_identity,request_authority,failure_law,interruption_law,provider_implementation_identity,host_target_relations,compatibility_owner,evaluation_phase,upstream_status,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_refs,source_refs,notes
CO-BUN-01,operation,bun,create-transpiler,host-api,one-shot,caller-owned-value,none,none,provider-native,"bun / create-transpiler / host-api / one-shot / {caller-owned-value, none}","host runtime; constructor options captured once (loader, target, define, tsconfig, macros, trimming, minification)",Construction throws provider-native option/initialization errors,No cancellation concept applies to construction,Bun host runtime exact version+revision (tag bun-v1.3.14 @ 0d9b296),host = Bun runtime only; captured target browser|bun|node,effect-build-bun,operation preflight + execution,documented,upstream-declaration+documentation,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC,OP-BUN-001;B-supp,Reusable configured JS object with no release protocol; classified caller-owned-value not long-lived-handle because no release law exists (see MSD-09)
CO-BUN-02,operation,bun,transpile-async,host-api,one-shot,caller-owned-value,none,none,provider-native,"bun / transpile-async / host-api / one-shot / {caller-owned-value, none}",captured Transpiler options; per-call loader override,Promise rejects with provider-native parse/configuration errors,No AbortSignal; fiber interruption stops waiting only; provider threadpool work may continue,Bun host runtime exact version+revision,host = Bun runtime,effect-build-bun,execution,documented,upstream-declaration+documentation,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC,OP-BUN-002,Distinct from sync twin because scheduling and interruption differ (worker threadpool)
CO-BUN-03,operation,bun,transpile-sync,host-api,one-shot,caller-owned-value,none,none,provider-native,"bun / transpile-sync / host-api / one-shot / {caller-owned-value, none}",captured Transpiler options; per-call loader override,Throws provider-native errors synchronously,Runs on calling thread; not interruptible while running; wrapper must not promise interruption,Bun host runtime exact version+revision,host = Bun runtime,effect-build-bun,execution,documented,upstream-declaration+documentation,established,defer,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC,OP-BUN-003,Async twin exists; see SDR sync-operation law and MSD-10 for tension with esbuild *Sync rejections
CO-BUN-04,operation,bun,scan-source,host-api,one-shot,caller-owned-value,none,none,provider-native,"bun / scan-source / host-api / one-shot / {caller-owned-value, none}",captured Transpiler options,Throws provider-native parse/configuration errors,Synchronous; not interruptible while running; honest sync law required,Bun host runtime exact version+revision,host = Bun runtime,effect-build-bun,execution,documented,upstream-declaration+documentation,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC,OP-BUN-004,Returns exports plus typed imports; type-only imports ignored; no async twin exists
CO-BUN-05,operation,bun,scan-imports,host-api,one-shot,caller-owned-value,none,none,provider-native,"bun / scan-imports / host-api / one-shot / {caller-owned-value, none}",captured Transpiler options,Throws provider-native parse/configuration errors,Synchronous; not interruptible while running,Bun host runtime exact version+revision,host = Bun runtime,effect-build-bun,execution,documented,upstream-declaration+documentation,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC,OP-BUN-005,Documented faster but marginally less accurate than scan; the tradeoff is the identity distinction
CO-BUN-06,operation,bun,build-memory,host-api,one-shot,caller-owned-value,none,none,provider-native,"bun / build-memory / host-api / one-shot / {caller-owned-value, none}",Bun.build config without outdir/compile-direct-write; disk|virtual|mixed graph; plugins/loaders; HTML entry and full-stack are request modes,throw:true rejects AggregateError; throw:false resolves success:false; partial-result behavior untested,No cancellation handle; interruption stops waiting only,Bun host runtime exact version+revision,host = Bun runtime; requested bundle target browser|bun|node is an evidence coordinate,effect-build-bun,execution,documented,upstream-declaration+documentation,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC;EC-BUN-RECEIPT-HOSTAPI,OP-BUN-006;B01;B02,BuildArtifact retention/GC lifetime unknown (probe family PF-RETAIN)
CO-BUN-07,operation,bun,build-direct-write,host-api,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}",same breadth as CO-BUN-06 plus provider output destination (outdir),Default throw behavior; atomicity/rollback/partial-failure topology unknown; no atomic claim permitted,No cancellation handle; interruption/remnant behavior unknown,Bun host runtime exact version+revision,host = Bun runtime; bundle target coordinate,effect-build-bun,execution,documented,upstream-declaration+documentation+recorded-execution,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC;EC-BUN-RECEIPT-HOSTAPI,OP-BUN-007;B03,Publication law difference from CO-BUN-06 is the identity split (reconciliation section 1 rule)
CO-BUN-08,operation,bun,build-stdout,selected-command,one-shot,caller-owned-value,none,none,provider-native,"bun / build-stdout / selected-command / one-shot / {caller-owned-value, none}",selected bun executable; argv/cwd/env; serializable CLI options only; no callback/virtual-file parity,Non-zero exit plus raw human diagnostics; no machine diagnostic protocol,Child signaling exists; scope owns child; exact signal behavior untested,selected command content identity (bytes/digest) + version/revision,any host that can spawn the selected binary,effect-build-bun,operation preflight + launch boundary + execution,documented,upstream-documentation,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-DOC,OP-BUN-008;B04,Finite stdout collection; a raw stream form would be a separate scoped-process identity
CO-BUN-09,operation,bun,build-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected bun executable; argv/cwd/env; outfile/outdir; optional CLI metafile,Non-zero exit plus human diagnostics; partial writes/replacement/remnants unknown,Child signaling exists; interruption-to-cleanup untested,selected command content identity + version/revision,any spawning host; bundle target coordinate,effect-build-bun,operation preflight + launch boundary + execution,documented,upstream-documentation+recorded-execution,established,candidate,uncommitted,partially-implemented,not-certified,EC-BUN-DOC;EC-BUN-RECEIPT-PROVIDER,OP-BUN-009;B04;B07,Withdrawn withJavaScriptBundle continuation (D16) is superseded by this identity plus borrowed-output laws
CO-BUN-10,operation,bun,build-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",selected bun executable; serializable CLI build options plus --watch,Raw diagnostics and process exit/signal only; no typed rebuild protocol (falsified),Scope terminates child; subtree termination/in-flight cancellation/remnants unknown,selected command content identity + version/revision,any spawning host,effect-build-bun,operation preflight + launch boundary + execution,documented,upstream-documentation+recorded-execution,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-DOC;EC-BUN-RECEIPT-PROVIDER,OP-BUN-010;B05,No Bun.build watch member exists in tagged declarations; command lane only
