evidence_id,operation_refs,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,evidence_class,observed_result,source_id,source_coordinate,retrieval_date,compatibility_commitment,certification_status,limitations
E-BUN-001,OP-BUN-001,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,not-executed,browser|bun|node,constructor options,declaration,UPSTREAM-DIRECT,Public class constructor and captured options are declared.,BUN-DTS,packages/bun-types/bun.d.ts: TranspilerOptions lines 2375-2513; class Transpiler line 2514,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No runtime construction or GC probe.
E-BUN-002,OP-BUN-001,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,not-executed,browser|bun|node,reusable object,documentation,UPSTREAM-DIRECT,Official docs reuse one Transpiler instance for transformation and scanning.,BUN-TRANS-DOC,docs/runtime/transpiler.mdx: introduction and Reference/class Bun.Transpiler,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No disposal/native lifetime contract.
E-BUN-003,OP-BUN-002,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,captured target,async transform; loader override,documentation+declaration,UPSTREAM-DIRECT,"transform returns Promise<string>, uses Bun's worker threadpool, and does not resolve modules.",BUN-DTS;BUN-TRANS-DOC,bun.d.ts lines 2522-2527; docs/runtime/transpiler.mdx .transform(),2026-08-19,source-exact-v1.3.14,source-only-not-certified,"No cancellation, macro interruption, or error-shape execution."
E-BUN-004,OP-BUN-003,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,captured target,sync transform; string|Uint8Array; loader override,documentation+declaration,UPSTREAM-DIRECT,"transformSync returns string, executes on the calling thread, and does not resolve modules.",BUN-DTS;BUN-TRANS-DOC,bun.d.ts lines 2528-2549; docs/runtime/transpiler.mdx .transformSync(),2026-08-19,source-exact-v1.3.14,source-only-not-certified,No large-input/macro failure execution.
E-BUN-005,OP-BUN-004,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,captured target,full scan,documentation+declaration,UPSTREAM-DIRECT,scan returns exports and typed imports; type-only imports/exports are ignored.,BUN-DTS;BUN-TRANS-DOC,"bun.d.ts lines 2550-2563, 2578-2591; docs/runtime/transpiler.mdx .scan()",2026-08-19,source-exact-v1.3.14,source-only-not-certified,Adversarial accuracy not executed.
E-BUN-006,OP-BUN-005,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,captured target,fast import-only scan,documentation+declaration,UPSTREAM-DIRECT,scanImports returns imports and is documented as faster but marginally less accurate.,BUN-DTS;BUN-TRANS-DOC,bun.d.ts lines 2564-2591; docs/runtime/transpiler.mdx .scanImports(),2026-08-19,source-exact-v1.3.14,source-only-not-certified,No quantified quality/performance guarantee.
E-BUN-007,OP-BUN-006;OP-BUN-007;OP-BUN-011,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,browser|bun|node|compile-target,BuildConfig and BuildOutput,declaration,UPSTREAM-DIRECT,"Bun.build, graph options, throw mode, virtual files, outdir, compile, artifacts, logs, and metafile are declared.",BUN-DTS,bun.d.ts BuildConfig 2612-3067; BuildArtifact/BuildOutput 3597-3661; build 3967,2026-08-19,source-exact-v1.3.14,source-only-not-certified,Shape only; no runtime/range proof.
E-BUN-008,OP-BUN-006,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,browser|bun|node,no outdir; memory artifacts,documentation,UPSTREAM-DIRECT,"Without outdir, Bun.build returns BuildArtifact blobs and does not write ordinary outputs to disk.",BUN-BUILD-DOC,docs/bundler/index.mdx JavaScript API/output and BuildArtifact sections,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No retention/GC execution.
E-BUN-009,OP-BUN-006;OP-BUN-007;OP-BUN-011,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,browser|bun|node,plugins/loaders/virtual files,declaration+documentation,UPSTREAM-DIRECT,"BuildConfig supports virtual files, loader maps, per-build plugins, setup, and lifecycle callbacks.",BUN-DTS;BUN-PLUGIN-DOC,bun.d.ts files 2945; plugins/loaders 2660-2682; PluginBuilder 5494-5602; BunPlugin 5610-5649,2026-08-19,source-exact-v1.3.14,source-only-not-certified,"Concurrency, interruption, and host effects unexecuted."
E-BUN-010,OP-BUN-006;OP-BUN-007,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,browser|bun,HTML/full-stack/standalone HTML,documentation,UPSTREAM-DIRECT,"Tagged docs establish HTML graphs, Bun-target full-stack AOT, and compile+browser all-HTML standalone output.",BUN-HTML-DOC;BUN-FULL-DOC;BUN-STANDALONE-DOC,docs/bundler/html-static.mdx; fullstack.mdx; standalone-html.mdx,2026-08-19,source-exact-v1.3.14,source-only-not-certified,Only narrow historical HTML fixtures executed.
