claim_id,kind,claim,operation_ref,semantic_ref,evidence_ref
AC-ROL-001,op,acquire-reusable-build is a…,OP-ROL-001,OP-ROL-001,E-ROL-ACQUIRE
AC-ROL-002,op,generate is a distinct…,OP-ROL-002,OP-ROL-002,E-ROL-HANDLE
AC-ROL-003,op,write is a distinct…,OP-ROL-003,OP-ROL-003,E-ROL-HANDLE
AC-ROL-004,op,close-reusable-build is a…,OP-ROL-004,OP-ROL-004,E-ROL-HANDLE
AC-ROL-005,op,build-one-shot-generate is a…,OP-ROL-005,OP-ROL-005,E-ROL-BUILD
AC-ROL-006,op,build-one-shot-write is a…,OP-ROL-006,OP-ROL-006,E-ROL-BUILD
AC-ROL-007,op,watch-direct-write is a…,OP-ROL-007,OP-ROL-007,E-ROL-WATCH-API
AC-ROL-008,op,watch-skip-write is a distinct…,OP-ROL-008,OP-ROL-008,E-ROL-WATCH-API
AC-ROL-009,op,close-watch-session is a…,OP-ROL-009,OP-ROL-009,E-ROL-WATCH-IMPL
AC-ROL-010,op,cli-bundle-stdout is a…,OP-ROL-010,OP-ROL-010,E-ROL-PKG
AC-ROL-011,op,cli-bundle-write is a distinct…,OP-ROL-011,OP-ROL-011,E-ROL-CLI-BUNDLE
AC-ROL-012,op,cli-watch is a distinct…,OP-ROL-012,OP-ROL-012,E-ROL-CLI-BUNDLE
AC-ROL-013,op,transform-source is a distinct…,OP-ROL-013,OP-ROL-013,E-ROL-UTILS
AC-ROL-014,op,parse-source is a distinct…,OP-ROL-014,OP-ROL-014,E-ROL-UTILS
AC-ROL-015,op,minify-source is a distinct…,OP-ROL-015,OP-ROL-015,E-ROL-UTILS
AC-ROL-016,op,resolve-module is a distinct…,OP-ROL-016,OP-ROL-016,E-ROL-EXPERIMENTAL
AC-ROL-017,op,scan-graph is a distinct…,OP-ROL-017,OP-ROL-017,E-ROL-SCAN
AC-ROL-018,op,acquire-dev-engine is a…,OP-ROL-018,OP-ROL-018,E-ROL-DEV
AC-ROL-019,op,close-dev-engine is a distinct…,OP-ROL-019,OP-ROL-019,E-ROL-DEV
AC-ROL-020,op,emit-isolated-declaration is a…,OP-ROL-020,OP-ROL-020,E-ROL-EXPERIMENTAL
AC-ROL-021,op,module-runner-transform is a…,OP-ROL-021,OP-ROL-021,E-ROL-EXPERIMENTAL
AC-ROL-022,op,load-config is a distinct…,OP-ROL-022,OP-ROL-022,E-ROL-CONFIG
AC-ROL-023,mode,"Input accepts one entry, an…",OP-ROL-001,,E-ROL-INPUT
AC-ROL-024,mode,Reusable acquisition is lazy…,OP-ROL-001,,E-ROL-ACQUIRE
AC-ROL-025,mode,generate accepts output…,OP-ROL-002,,E-ROL-HANDLE
AC-ROL-026,mode,write accepts output options…,OP-ROL-003,,E-ROL-HANDLE
AC-ROL-027,mode,build selects memory mode only…,OP-ROL-005,,E-ROL-BUILD
AC-ROL-028,mode,build defaults to direct-write…,OP-ROL-006,,E-ROL-BUILD
AC-ROL-029,mod,"Plugins may be asynchronous,…",OP-ROL-001,,E-ROL-INPUT
