"comparison_id","primary_operation_id","shadow_operation_id","provider","primary_operation","shadow_operation","lane_primary","lane_shadow","lane_resolution","lifecycle_primary","lifecycle_shadow","lifecycle_resolution","resource_primary","resource_shadow","resource_resolution","provider_publication_primary","provider_publication_shadow","provider_publication_resolution","published_contract_primary","published_contract_shadow","published_contract_resolution","identity_owner_primary","identity_owner_shadow","identity_owner_resolution","provenance_primary","provenance_shadow","semantic_disposition_primary","semantic_disposition_shadow","recommendation_primary","recommendation_shadow","recommendation_resolution","compatibility_primary","compatibility_shadow","implementation_primary","implementation_shadow","certification_primary","certification_shadow","evidence_primary","evidence_shadow","source_primary","source_shadow","proposed_surface","resolution","unresolved_fact"
"CMP-CAN-BUN-001","CAN-BUN-001","CO-BUN-01","bun","create-transpiler","create-transpiler","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-001;E-BUN-002","EC-BUN-SRC;EC-BUN-DOC","OP-BUN-001","OP-BUN-001;B-supp","effect-build-bun./Transpiler#make","adopt-shadow: no release protocol means caller-owned reusable value, not a long-lived handle","GC/native backing lifetime and concurrency"
"CMP-CAN-BUN-002","CAN-BUN-002","CO-BUN-02","bun","transpile-source-async","transpile-async","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-003","EC-BUN-SRC;EC-BUN-DOC","OP-BUN-002","OP-BUN-002","effect-build-bun./Transpiler#transform","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","provider work after Effect interruption"
"CMP-CAN-BUN-003","CAN-BUN-003","CO-BUN-03","bun","transpile-source-sync","transpile-sync","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","ship","defer","different-resolved","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-004","EC-BUN-SRC;EC-BUN-DOC","OP-BUN-003","OP-BUN-003","effect-build-bun./Transpiler#transformSync","retain-primary: ship with an explicit non-interruptible calling-thread contract; D5 broad native coverage and the R2 ship verdict supply no evidence-based defer gate, unlike esbuild sync variants","non-interruptible execution boundary"
"CMP-CAN-BUN-004","CAN-BUN-004","CO-BUN-04","bun","scan-source","scan-source","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-005","EC-BUN-SRC;EC-BUN-DOC","OP-BUN-004","OP-BUN-004","effect-build-bun./Transpiler#scan","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","latency and adversarial accuracy"
"CMP-CAN-BUN-005","CAN-BUN-005","CO-BUN-05","bun","scan-imports-fast","scan-imports","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-006","EC-BUN-SRC;EC-BUN-DOC","OP-BUN-005","OP-BUN-005","effect-build-bun./Transpiler#scanImports","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","adversarial accuracy boundary"
"CMP-CAN-BUN-006","CAN-BUN-006","CO-BUN-06","bun","build-memory","build-memory","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010","EC-BUN-SRC;EC-BUN-DOC;EC-BUN-RECEIPT-HOSTAPI","OP-BUN-006","OP-BUN-006;B01;B02","effect-build-bun./Build#build","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","cancellation and retained artifact lifetime"
"CMP-CAN-BUN-007","CAN-BUN-007","CO-BUN-07","bun","build-direct-write","build-direct-write","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation+recorded-execution","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","receipt-bounded-not-certified","not-certified","E-BUN-011;E-BUN-021;E-BUN-022","EC-BUN-SRC;EC-BUN-DOC;EC-BUN-RECEIPT-HOSTAPI","OP-BUN-007","OP-BUN-007;B03","effect-build-bun./BuildToDirectory#buildToDirectory","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","partial writes; pre-existing outputs; interruption remnants"
"CMP-CAN-BUN-008","CAN-BUN-008","CO-BUN-08","bun","build-stdout","build-stdout","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-documentation","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-012","EC-BUN-DOC","OP-BUN-008","OP-BUN-008;B04","effect-build-bun./BuildCommand#build","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","collection bounds and signal outcome"
"CMP-CAN-BUN-009","CAN-BUN-009","CO-BUN-09","bun","build-direct-write","build-direct-write","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","upstream-documentation+recorded-execution","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","partially-implemented","receipt-bounded-not-certified","not-certified","E-BUN-013;E-BUN-023;E-BUN-024;E-BUN-025","EC-BUN-DOC;EC-BUN-RECEIPT-PROVIDER","OP-BUN-009","OP-BUN-009;B04;B07","effect-build-bun./BuildCommandToDirectory#buildToDirectory","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","partial writes; replacement; signal remnants"
"CMP-CAN-BUN-010","CAN-BUN-010","CO-BUN-10","bun","build-watch","build-watch","selected-command","selected-command","agree","scoped-process","scoped-process","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","upstream-documentation+recorded-execution","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","receipt-bounded-not-certified","not-certified","E-BUN-014;E-BUN-026","EC-BUN-DOC;EC-BUN-RECEIPT-PROVIDER","OP-BUN-010","OP-BUN-010;B05","effect-build-bun./BuildWatchCommand#watch","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","readiness; recovery; subtree termination; remnants"
