claim_id,classification,claim_summary,operation_ref,semantic_identity,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_coordinate_refs
LAW-001,architecture-law,A legacy inventory row may decompo…,,,G,A,N,N,R,G,
LAW-002,architecture-law,Only actual operations receive pro…,,,G,A,N,N,R,G,
LAW-003,architecture-law,"Provider implementation identity,…",,,G,A,N,N,R,G,
LAW-004,architecture-law,"Provenance, semantic disposition,…",,,G,A,N,N,R,G,
LAW-005,architecture-law,Upstream existence proves neither…,,,G,A,N,N,R,G,
LAW-006,architecture-law,Lack of an existing adopter is not…,,,G,A,N,N,R,G,
LAW-007,architecture-law,Documentation and declarations can…,,,G,A,N,N,R,G,
LAW-008,architecture-law,Interrupting an Effect fiber await…,,,G,A,N,N,R,G,
LAW-009,architecture-law,A provider-direct output write is…,,,G,A,N,N,R,G,
LAW-010,architecture-law,Human stdout or stderr from a watc…,,,G,A,N,N,R,G,E-BUN-026
LAW-011,architecture-law,Internal Zig functions do not beco…,,,C,A,R,N,R,S,E-BUN-020
LAW-012,architecture-law,A Bun-produced standalone executab…,,,G,A,N,N,R,G,E-BUN-015;E-BUN-016;E-BUN-027
LAW-013,architecture-law,"Code signing, notarization, packag…",,,G,A,D,N,R,G,
LAW-014,architecture-law,A successful HTML fixture does not…,,,G,A,N,N,R,G,E-BUN-024;E-BUN-025
LAW-015,architecture-law,Two successful exact Bun versions…,,,G,A,N,N,R,G,E-BUN-028;E-BUN-029
OPC-001,operation,new Bun.Transpiler(options) is a d…,OP-BUN-001,"Bun / create-transpiler / host-api / one-shot / {long-lived-handle, none}",U,O,S,X,U,S,E-BUN-001;E-BUN-002
OPC-002,operation,"Bun.Transpiler.transform(code, loa…",OP-BUN-002,"Bun / transpile-source-async / host-api / one-shot / {caller-owned-value, none}",U,O,S,X,U,S,E-BUN-003
OPC-003,operation,"Bun.Transpiler.transformSync(code,…",OP-BUN-003,"Bun / transpile-source-sync / host-api / one-shot / {caller-owned-value, none}",U,O,S,X,U,S,E-BUN-004
OPC-004,operation,Bun.Transpiler.scan(code) is a dis…,OP-BUN-004,"Bun / scan-source / host-api / one-shot / {caller-owned-value, none}",U,O,S,X,U,S,E-BUN-005
OPC-005,operation,Bun.Transpiler.scanImports(code) i…,OP-BUN-005,"Bun / scan-imports-fast / host-api / one-shot / {caller-owned-value, none}",U,O,S,X,U,S,E-BUN-006
OPC-006,operation,Bun.build(config) without outdir a…,OP-BUN-006,"Bun / build / host-api / one-shot / {caller-owned-value, none}",U,O,S,X,U,S,E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010
OPC-007,operation,Bun.build(config) with outdir or a…,OP-BUN-007,"Bun / build / host-api / one-shot / {caller-owned-value, provider-direct-durable}",R,O,S,X,U,R,E-BUN-011;E-BUN-021;E-BUN-022
OPC-008,operation,selected bun build command with st…,OP-BUN-008,"Bun / build / selected-command / one-shot / {caller-owned-value, none}",U,O,S,X,N,S,E-BUN-012
OPC-009,operation,selected bun build command with ou…,OP-BUN-009,"Bun / build / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",R,O,S,P,P,R,E-BUN-013;E-BUN-023;E-BUN-024;E-BUN-025
OPC-010,operation,selected bun build --watch command…,OP-BUN-010,"Bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",R,O,S,P,N,R,E-BUN-014;E-BUN-026
OPC-011,operation,Bun.build({compile:...}) for Bun r…,OP-BUN-011,"Bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}",R,O,S,X,U,R,E-BUN-015;E-BUN-016;E-BUN-021
OPC-012,operation,selected bun build --compile comma…,OP-BUN-012,"Bun / compile-executable / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",R,O,S,P,I,R,E-BUN-017;E-BUN-027
OPC-013,operation,effect-build compileExecutable sta…,OP-BUN-013,"Bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}",E,O,S,C,I,N,E-EB-001
OPC-014,operation,Bun.plugin(plugin) is a distinct r…,OP-BUN-014,"Bun / plugin-register-global / runtime-api / one-shot / {caller-owned-value, none}",U,O,R,X,N,S,E-BUN-018
OPC-015,operation,Bun.plugin.clearAll() is a distinc…,OP-BUN-015,"Bun / plugin-clear-global / runtime-api / one-shot / {none, none}",U,O,R,X,N,S,E-BUN-019
