"source_set","source_id","atom_id","provider","source_label","classification","canonical_operation_ids","evidence_coordinate_refs","freeze_recommendation","note"
"original-54","B01","B01.1","bun","Bun.build memory","operation","CAN-BUN-006","E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010","ship","memory ownership split"
"original-54","B01","B01.2","bun","Bun.build direct write","operation","CAN-BUN-007","E-BUN-011;E-BUN-021;E-BUN-022","ship","publication split"
"original-54","B02","B02.1","bun","virtual-file build","request-mode","CAN-BUN-006;CAN-BUN-007","E-BUN-007;E-BUN-008","ship","virtual and mixed graphs remain native request authority"
"original-54","B03","B03.1","bun","direct-write bundle","operation","CAN-BUN-007","E-BUN-011","ship",""
"original-54","B04","B04.1","bun","bun build stdout","operation","CAN-BUN-008","E-BUN-012","ship",""
"original-54","B04","B04.2","bun","bun build direct write","operation","CAN-BUN-009","E-BUN-013","ship",""
"original-54","B05","B05.1","bun","bun build --watch","operation","CAN-BUN-010","E-BUN-014;E-BUN-026","ship",""
"original-54","B06","B06.1","bun","loaders","modifier","CAN-BUN-006;CAN-BUN-007;CAN-BUN-008;CAN-BUN-009","E-BUN-009","ship",""
"original-54","B06","B06.2","bun","per-build plugin callbacks","sub-operation","CAN-BUN-006;CAN-BUN-007","E-BUN-010","ship",""
"original-54","B06","B06.3","bun","ambient global plugin registration","operation","CAN-BUN-014","E-BUN-018","reject","R2 separates ambient mutation from per-build plugin authority"
"original-54","B07","B07.1","bun","HTML graph","request-mode","CAN-BUN-006;CAN-BUN-007;CAN-BUN-009","E-BUN-009;E-BUN-013","ship",""
"original-54","B08","B08.1","bun","splitting/assets/maps","modifier","CAN-BUN-006;CAN-BUN-007;CAN-BUN-008;CAN-BUN-009","E-BUN-009;E-BUN-013","ship",""
"original-54","B08","B08.2","bun","chunks/metafile/native artifacts","result-field","CAN-BUN-006;CAN-BUN-007;CAN-BUN-009","E-BUN-008;E-BUN-011","ship",""
