id,provider,operation_identity,surface,upstream_version,stability,request_type,result_type,configuration_project_environment_plugin_authority,input_topology,output_topology,ownership,cancellation_interruption_watch_rebuild_context,permissions_ambient_authority,runtime_target_platform_architecture_libc_host_semantics,structured_diagnostics_native_metadata,provider_only_distinctions_to_preserve,plausible_finite_portable_role,candidate_shape,evidence_class,evidence_status,source_url,source_coordinate,retrieval_date,applicable_host_version,limitation,confidence,semantic_validity,demonstrated_provider_behavior,stable_public_compatibility,product_release_priority,implementation_status,certification_status,exact_probe_required
B01,Bun,Bun.build one-shot,host API,1.3.14,documented,BuildConfig,Promise<BuildOutput>,callbacks/plugins/env/cwd/virtual files,disk/virtual graph,BuildArtifact[]/logs; memory or writes,borrowed or provider-direct,one-shot Promise; cancel UNKNOWN,host process,browser|bun|node resolution target,native messages/artifacts,virtual files/callback authority,NodeMainProgram narrow,thin Effect function,UPSTREAM-DIRECT,source-established,https://raw.githubusercontent.com/oven-sh/bun/bun-v1.3.14/packages/bun-types/bun.d.ts,Bun.build/BuildConfig/BuildOutput,2026-08-17,1.3.14,No stable cancellation guarantee.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,interrupt and observe writes/cleanup
B02,Bun,virtual-file build,host API,1.3.14,documented,BuildConfig.files,BuildOutput,caller-supplied virtual graph/plugins,virtual/mixed graph,memory artifacts,borrowed,one-shot,host authority,bundle target,native logs,API-only virtual inputs,none,direct function,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,API files,2026-08-17,1.3.14,CLI cannot represent callbacks.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,mixed graph/plugin interruption
B03,Bun,direct-write bundle,host API,1.3.14,documented,BuildConfig outdir,BuildOutput paths,host/filesystem/plugins,module graph,durable multi-file tree,provider-direct,one-shot; atomicity UNKNOWN,host filesystem,bundle target,logs/paths,write mode changes ownership,BrowserModuleOutputSet narrow,function/private staging adapter,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,outdir/outputs,2026-08-17,1.3.14,No atomic commit established.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,partial failure/interruption/preexisting output
B04,Bun,bun build one-shot,selected command,1.3.14,documented,argv/cwd/env,exit/streams/files,selected binary/project environment,filesystem graph,files + human streams,process/direct writes,scoped child,process authority,browser|bun|node,human diagnostics/metafile,CLI discovery and selection,role only after normalization,selected command function,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,CLI options,2026-08-17,1.3.14,Not equivalent to callbacks.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,config/env/signal matrix
B05,Bun,bun build --watch,selected command,1.3.14,documented,argv/watch flags,long-running process,selected binary/watcher,disk graph,repeated writes/human streams,owned process,signal/rebuild session,process authority,bundle target,human output,opaque watch lifecycle,none,scoped opaque handle,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,Watch mode,2026-08-17,1.3.14,No machine protocol established.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,rebuild/failure/signal/cleanup
B06,Bun,plugins/loaders,host API,1.3.14,documented,Plugin[]/loaders,BuildOutput,arbitrary callbacks,custom graph,native outputs,callbacks bounded to call/context,provider callback lifecycle,full host authority,provider target,native messages,not serializable to CLI,none,direct function/service only if reused,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,plugins/loaders,2026-08-17,1.3.14,Provider-specific.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,callback concurrency/interruption
B07,Bun,HTML graph bundle,API/command,1.3.14,documented,HTML entry/config,HTML/JS/CSS/assets,Bun HTML/loaders/publicPath,HTML referenced graph,multi-output graph,memory/direct write,one-shot or CLI watch,host/process,browser/full-stack Bun,artifact metadata,Bun HTML semantics,HTML module graph narrow,provider-native function,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,HTML/static sections,2026-08-17,1.3.14,Broad static web falsified.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,top-level links/nested assets/public path
B08,Bun,splitting/chunks/assets/maps/metafile,API/command,1.3.14,documented,BuildConfig fields,native artifacts/metadata,provider graph accounting,multi-entry graph,chunks/assets/maps/metafile,memory/direct,one-shot,host/process,target/format,native metadata,schema must survive,none,native result passthrough,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler,splitting/assets/sourcemap/metafile,2026-08-17,1.3.14,Schema tied to Bun.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,adversarial output graph
B09,Bun,compile executable,API/command,1.3.14,documented,compile config/flags,durable executable,selected/embedded Bun,program graph/assets,Bun executable,durable direct,one-shot; cancel UNKNOWN,host/process,OS/arch/libc/CPU tuple,native logs,embedded Bun runtime/API,BunExecutable only,selected command or thin host function,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler/executables,single-file/cross-compile,2026-08-17,1.3.14,Runtime identity not neutral.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,all tuples/runtime identity/interruption
B10,Bun,full-stack HTML executable,API/command,1.3.14,provider-only,HTML/server compile request,executable,Bun full-stack pipeline,server/client graph,embedded app executable,durable,one-shot,host/process,Bun runtime target,native logs,no honest peer,none,provider-native operation,UPSTREAM-DIRECT,source-established,https://bun.sh/docs/bundler/executables,full-stack executable,2026-08-17,1.3.14,Provider-only.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,routing/assets/target runtime
